Genus	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Campylobacter	0	0	0	0	0	0	1.22	0	2.45	0	2.14	0.306	3.06	0	0.917	0.306	0	0.612	0.9
Rothia	0	0	0	0	0	0	1.22	0	0	0	0	0.612	0.917	17.4	5.5	3.67	5.5	3.36	0.8
Tannerella	0	0	0	0	0	0	1.53	0.612	0.612	0.612	1.53	3.36	2.75	0	0	0.306	0	1.53	0.8
Agathobacter	0.917	0.612	3.67	0.612	2.75	20.2	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Bifidobacterium	0.306	7.34	0	7.65	9.48	6.73	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Coprococcus	1.22	3.36	7.65	1.22	0	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Catonella	0	0	0	0	0	0	2.45	0.306	0	2.14	1.22	3.06	0.917	0	0	0	0	0	0.8
Granulicatella	0	0	0	0	0	0.306	0	0.306	0	0.612	0	0.612	0.306	3.67	6.12	2.45	4.59	2.14	0.7
Rikenellaceae RC9 gut group	0	1.83	1.22	0	0	0	0.612	0	0	0	0	0	1.53	0	0	0	0	0	0.7
UCG-002	9.79	0.917	6.12	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Oribacterium	0	0	0	0	0	0	0.612	0	0	3.06	0.917	0	0	0.306	0.306	0.917	0	0.917	0.7
Dialister	0	3.36	3.36	0	0	0	0.917	2.75	0.612	0.306	2.45	0.917	2.75	0	0	0	0.306	0.306	0.7
Roseburia	0.306	0	2.14	0	0	0.306	0	0	0.306	0	0	1.83	0	0	0	0	0	0	0.7
Blautia	0	0.612	0.612	2.45	0.612	12.8	0	0	0	0	0	0	0	0	0	0	0	0	0.6
Butyrivibrio	0	0	6.42	0	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0.6
Lentimicrobium	0	0	0	0	0	0	2.45	0	0	0	0	0	1.22	0	0.306	0	0	0	0.6
Phascolarctobacterium	1.83	0	0.612	13.5	4.28	4.28	0	0	0	0	0	0	0	0	0	0	0	0	0.6
[Eubacterium] eligens group	1.53	0	1.53	0.917	0.917	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
[Eubacterium] sulci group	0	0	0	0	0	0	0.306	0	0.306	0	1.22	0.306	0.612	0	0	0	0.306	1.22	0.5
Peptococcus	0	0	0	0	0	0	0.306	0	0.306	1.83	1.53	3.67	0	0	0	0	0	0	0.5
Schaalia	0	0	0	0	0	0	0	0	0	0	0	1.22	0.917	0	0	0.612	0.917	0.612	0.5
Alistipes	0	0.917	0	14.1	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
[Eubacterium] saphenum group	0	0	0	0	0	0	0	0	0	0	0.612	1.53	2.75	0	0	0	0	0	0.4
Dorea	0.917	1.22	1.22	4.28	4.28	4.89	0	0	0	0	0	0	0	0	0	0	0	0	0.4
F0058	0	0	0	0	0	0	0.612	0	0	0	0	0.917	1.22	0.306	0	0	0.306	0	0.4
Solobacterium	0	0	0	0	0	0	0	0.612	0.612	0.612	0	0.306	0.612	0.612	0.306	0.306	0.306	0.612	0.4
Mediterraneibacter	1.22	3.67	0	0.306	5.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Holdemanella	0	0	2.45	2.14	6.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
[Eubacterium] brachy group	0	0	0	0	0	0	1.22	2.14	0.306	0.612	0.306	0	0	0	0	0	0	0.306	0.3
Acholeplasma	0	0	0	0	0	0	0	0	0.612	0	0.306	0.306	0	0	0	0	0	0	0.3
Desulfobulbus	0	0	0	0	0	0	10.1	1.83	3.67	0.306	6.73	3.67	0	0	0	0	0	0	0.3
Lancefieldella	0	0	0	0	0	0	0	1.53	0	0.306	0.306	0.612	0.917	0	0.612	0.612	0.306	0.917	0.3
Johnsonella	0	0	0	0	0	0	0.306	0	0	0	0	0.917	0.917	0	0	0	0	0.306	0.3
[Eubacterium] ruminantium group	0.306	0	0.306	0	4.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Corynebacterium	0	0	0	0	0	0	0.306	0	0	0	0	2.14	0	0	0	0	0.306	0	0.2
Christensenellaceae R-7 group	0.306	0	0	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Stomatobaculum	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0	0.917	0.612	0	0.917	0.2
Candidatus Saccharimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0.917	0	0.306	0	0	0.2
Cardiobacterium	0	0	0	0	0	0	0.306	0	0	0	0	0	0.306	0.306	0.306	0	0	0.306	0.2
Bergeyella	0	0	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0.306	0.2
TM7x	0	0	0	0	0	0	2.14	0	0	0	0	0	0	0	0.917	0	0.612	4.28	0.2
Mogibacterium	0	0	0	0	0	0	0.306	0.306	0	0	0	0.306	0.917	0	0	0	0	0	0.2
Family XIII UCG-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0.2
Sneathia	0	0	0	0	0	0	0	0	0	0	1.53	0	0	0	0	0	0	0	0.2
W5053	0	0	0	0	0	0	0	1.53	0	0	0	0.612	0.612	0	0	0	0	0	0.2
[Ruminococcus] gnavus group	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0.2
[Eubacterium] xylanophilum group	0	0	0.612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Tyzzerella	0.612	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Moryella	0	0	0	0	0	0	0	0	0.917	0	0.612	0.306	0.306	0	0	0	0	0	0.2
Hornefia	0	0	0	0	0	0	0.612	0	0	0	0	0.612	0	0	0	0	0	0	0.2
Anaeroglobus	0	0	0	0	0	0	0.306	2.14	0.306	0	1.22	0	0	0	0	0	0	0	0.2
Defluviitaleaceae UCG-011	0	0	0	0	0	0	0.306	0	0	0	0.306	0	0.917	0	0	0	0	0	0.2
Collinsella	0.612	0	0.917	0.306	0	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Lachnospira	2.45	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Leyella	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Eikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0.612	0	0	0.306	0	0.2
Parabacteroides	0.612	0.612	0	0	1.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Erysipelotrichaceae UCG-006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Akkermansia	4.89	0	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	1.22	0.612	0	0	0	0	0	0.2
Erysipelotrichaceae UCG-003	0.306	0.917	0	0	1.22	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0.612	0	0	0	0	0	0	0.1
UCG-005	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Acutalibacter	0	0	0	0	0	0.917	0	0	0	0	0	0	0	0	0	0	0	0	0.1
[Ruminococcus] gauvreauii group	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Unassigned	0	0	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0	0.1
Aggregatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Catenibacterium	0	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Bulleidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Bilophila	0	0	0	0.612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
NK4A214 group	0	0.612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Mycoplasma	0	0	0	0	0	0	0.917	0	1.53	0	0.306	0	0	0	0	0	0	0	0.1
Prevotellaceae NK3B31 group	0	5.5	0	3.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Phocaeicola	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0	0	0.1
Paraprevotella	3.98	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pelospora	0	0	0	0	0	0	0	0	0	0	0	0	0.917	0	0	0	0	0	0.1
Olsenella	0	0	0	0	0	0	0	0.306	0	0	0	2.14	0	0	0	0	0	0	0.1
Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.917	0	0	1.22	0.1
Fusicatenibacter	0.306	0	0.612	0.306	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Flexilinea	0	0	0	0	0	0	0.917	0	0.306	0.306	0.917	0.917	0	0	0	0	0	0	0.1
Family XIII AD3011 group	0	0	0	0	0.612	2.45	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Kingella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0.1
Lautropia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.612	0	0.1
Lachnoclostridium	0	0	0	0	0	1.22	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0.306	0	0	0.306	0.306	0	1.22	0.1
