Genus	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Mesohalobacter	0	0	0	0	0	0	0	0	0	0.719	0	0	0.3
Sulfurovum	0.719	0.719	0	0	0.719	0	1.44	0	0	0	0	0	0.3
Fusibacter	0	0	0	0.719	0	0	0	0.719	0	0	0.719	0	0.3
Nodosilinea_PCC_7104	0	0	0	0	0	0	0.719	0	0	0.719	0	0	0.3
Qipengyuania	0	0	0	0	0.719	0	0.719	0	0	2.16	0	0	0.2
Hoeflea	0	0	0	0	0.719	0	1.44	0	0	0	0	0	0.2
Planktothrix_NIVA_CYA_15	0	0	0	0	0	0	0.719	0	2.88	0	0	0	0.2
Legionella	0	0	0	0.719	0.719	0	0	0	0	0	0	0	0.2
CL500_29_marine_group	0.719	0.719	0	0	0	0	0.719	0	1.44	0	0	0	0.2
NS3a_marine_group	1.44	5.76	9.35	0	2.16	0	0	0	0	0	0	0	0.2
Polaribacter	0	0	0.719	0	0	0	0	0	0	0	0	0	0.2
Phormidium_MBIC10003	0	0	0	0.719	0	0	0	0	0	0	0.719	0	0.2
RS62_marine_group	0	0	0.719	0	0	0	0	1.44	0	0	0	0	0.2
Rheinheimera	0	0	0	0	2.88	0	0	0	0	0	0	0	0.2
Thiobacillus	0	0.719	0	0	0	0	1.44	0	0	0	0	2.16	0.2
Pirellula	0	0	0	0	0	0	2.16	0	0	0	0	0	0.2
Natranaerovirga	0	0	0	0	0	0	0	0	0	0.719	1.44	1.44	0.2
Candidatus_Nitrosoarchaeum	0	0	0	0	0.719	0	1.44	0	0	0	0	0.719	0.2
Candidatus_Megaira	0.719	0	0	0	0	0	0	0.719	0.719	0	0.719	0	0.2
Winogradskyella	0	0	0	0	0	0.719	0	0	0	0	0	0	0.2
Fuscovulum	0	0	0	0	0	0	0	0	0	0	0	2.88	0.2
Limnobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0.2
Candidatus_Competibacter	1.44	0	0	0	0	0	0	0	0	0	0	0	0.2
Aestuariicoccus	1.44	0	0	0	0	0	0.719	0	0	0.719	0.719	0	0.2
Psychroflexus	0	0	0	0	0	0.719	0	0	0	0	0	0	0.2
Flavimaricola	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Halochromatium	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Defluviitaleaceae_UCG_011	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Lentimonas	0	0	0	0	0	0.719	0.719	0	0	0	0	0	0.2
Thiomicrorhabdus	0	0	0	0	0	0	0.719	0	0	0	1.44	0	0.2
Salinarimonas	1.44	0	0	0	0	0	3.6	0	0	0	0	0	0.2
Roseibaca	0	0	0	0	0	0	0	0	0	0.719	0	0	0.2
Vicingus	0	0	0.719	0	0.719	3.6	0	0	0	0	0	0	0.2
Verruc_01	0	0	0	0	0.719	0	0	0.719	0	0	0	0	0.2
Tabrizicola	0	0	0	0	0	0	0	0	0	0	0	1.44	0.1
Mesoflavibacter	0	0	0	0	0	0	0	0	0	0	1.44	0	0.1
Synechocystis_PCC_6803	2.16	0	0	0	0	0	0	0	0.719	0	0	0	0.1
Aeromonas	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Peredibacter	0	0	0	0	0	0	0	0.719	0	0	0	0	0.1
Luteolibacter	0	0	0	0	0	0	0.719	0	0	0	0	1.44	0.1
Owenweeksia	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Erythrobacter	0.719	0	0	0	0	0	0	0	0	0	0	0	0.1
Fluviicola	0	0	0	0.719	0.719	0	0	0	0	0	0	0	0.1
Alcanivorax	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Acholeplasma	0	0	0	0	0	0.719	0	0.719	0	0	0.719	0	0.1
Cypionkella	0	0	0	0	0	0	0.719	0	0	0	0	0.719	0.1
Chachezhania	0	0	0.719	0	0	0.719	0	0	0	0.719	0	0	0.1
hgcI_clade	0	0	0.719	0	0	0	0	0.719	0	0	0	0	0.1
Pleomorphochaeta	0	0	0	0	0	0	0	0	0	0	2.16	0	0.1
Thiocapsa	0	0.719	0	0	0.719	0	0.719	0	0	0	0	0.719	0.1
Brumimicrobium	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Woeseia	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Psychroserpens	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Snowella_0TU37S04	0	0	0	0	0	0	0	0	0.719	0	0	0.719	0.1
Filomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sulfuricurvum	0	0	0	0	0	0	0	0.719	0.719	0	0	0.719	0.1
Gaetbulibacter	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Lunatibacter	0	0	0	0	0	0	2.16	0	0	0	0	0	0.1
Novosphingobium	0	0	0	0	0	0	0	0.719	0	0	0	2.16	0.1
Lewinella	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Marinoscillum	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Roseimarinus	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudohongiella	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Neptunomonas	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Anaerovorax	0	0	0	0	0	0	0	0	0	0.719	0	0.719	0.1
Synechococcus_CC9902	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Vibrio	0	0.719	0	0	0.719	0	0	0	0	0	0	0	0.1
Arthrospira_PCC_7345	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Candidatus_Thiobios	0	0	0	0	0	0	0	0	0	0	0	0	0.1
966_1	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
SM1A02	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Acetivibrio	0	0	0	0	0.719	0	0	0	0	0	0.719	0	0.1
Rhodovulum	0.719	0	0	0	0	0	0	0	0	0	0	0	0.1
Arenimonas	0	0	0	0	0	0	1.44	0	0	0	0	0.719	0.1
NS10_marine_group	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Crocinitomix	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lautropia	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
Roseibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Altererythrobacter	0	0	0	0	0.719	0	0.719	0	0	0	0.719	0	0.1
JTB255_marine_benthic_group	0	0	0.719	0	0	0	0.719	0	0	0	0	0	0.1
Marinobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.1
CK06_06_Mud_MAS4B_21	0	0	0	0	0	0	0	1.44	0	0	0	0	0.1
Marichromatium	0.719	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Francisella	0	0	0	0.719	0	0.719	0	0	0	0	0	0	0.1
Pseudomonas	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Comamonas	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
Candidatus_Hepatincola	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Planococcus	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Tangfeifania	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sagittula	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Lentimicrobium	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Nitrincola	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Leptolyngbya_PCC_6406	0	0	0	0	0	0	0	0	0.719	0	0	0	0.1
Muriicola	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Ruegeria	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ruminiclostridium	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Zag_111	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Roseomonas	0	0	0	0	0	0	0	0	0.719	0	0	0.719	0.1
Acidibacter	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
Pseudohaliea	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Alishewanella	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Limnothrix	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nautella	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Luminiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Mariniblastus	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Pseudodesulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0.1
OM60NOR5_clade	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lactococcus	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Phycocomes	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Desulfotignum	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfosarcina	0	0	0	0	0	0	0	0	0	0	0	1.44	0.1
Tateyamaria	0	0	0	0	0	0	0	0	0	0	0	0	0.1
UBA6140	0	0	0	0	0	0	0	0.719	0.719	0	0	0	0.1
Enterobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Belliella	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
RBG_16_49_21	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Calothrix_PCC_6303	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
CL500_3	0	0	0	0	0	0	0	0.719	0	0	0	0	0.1
Terasakiella	0	0	0	0	0	0	0	0.719	0	0	0	0	0.1
Candidatus_Methylopumilus	0	0	0	0	0	0	0	0	1.44	0	0	0	0.1
Christensenellaceae_R_7_group	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Castellaniella	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Thiorhodovibrio	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Candidatus_Midichloria	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Candidatus_Berkiella	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Planctomicrobium	0.719	0	0	0	0	0	0	0	0	0	0	0	0.1
Cyclobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Clade_Ia	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Truepera	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Escherichia_Shigella	0	0	0	0	0	0	0	0.719	0	0	0	0.719	0.1
Sediminispirochaeta	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Schizothrix_LEGE_07164	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Halobacteriovorax	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Haliea	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Halioglobus	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Jannaschia	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Anderseniella	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Salinirepens	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ideonella	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
Pseudoalteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Vallitalea	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Streptococcus	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Reinekea	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Geothermobacter	0	0	0	0	0	0	0	0.719	0	0	0	0.719	0.1
Pseudotenacibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pararhodobacter	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Rhodophyticola	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudomethylobacillus	0	0	0	0	0	0	0	0.719	0.719	0	0	0	0
R76_B128	0	0	0.719	0	0	0	0	0	0	0	0	0	0
Robiginitalea	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsia	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodospirillum	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Roseibium	0	0	0	0	0	0	0	0	0	0	0	0	0
Puniceicoccus	0	0	0	0	0	0	0	0	0	0.719	0	0	0
Rhodoluna	0	0	0	0	0	0	0	0	0	0	0	0	0
Thioalkalivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0
Thalassocola	0	0	0	0	0	0	0	0	0	0	0	0	0
Thioflavicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiolinea	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Thiogranum	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Terrisporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus_IR11	0	0	0	0	0	0	0	0	0	0	0	0	0
Symphothece_PCC_7002	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus_MBIC10613	0	0	0	0	0	0	0	0	0	0	0	0	0
Terrimicrobium	0	0	0	0	0	0	0	0	0.719	0	0	0	0
Syntrophotalea	0	0	0	0	0	0	0	0	0	0	0	0	0
Wollea	0	0	0	0	0	0	0	0	0	0	0	0.719	0
Wenzhouxiangella	0	0	0	0	0	0	0	0	0	0	0	0	0
alphaI_cluster	0.719	0	0	0	0	0	0	0	0	0	0	0	0
livecontrolB21	0	0	0	0	0	0	0	0	0	0.719	0	0	0
endosymbionts	0	0	0	0	0	0	0	0	0	0	0.719	0	0
Wandonia	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiovulum	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiophaeococcus	0	0	0	0	0	0	0	0	0	0.719	0	0	0
UCG_004	0	0	0	0	0	0	0	0	0	0	0	0	0
WCHB1_32	0	0	0	0	0	0	0	0	0	0	0	0	0
UCG_012	0	0	0	0	0	0	0	0	0	0	0	0.719	0
Sva0081_sediment_group	0	0	0	0	0	0	0	0	0	0	0	0	0
SKP_2	0	0	0	0	0	0	0	0	0	0	0	0	0
SEEP_SRB4	0	0	0	0	0	0	0	0	0	0	0	0	0
Salibacter	0	0.719	0	0	0	0	0	0	0	0	0	0	0
Sandaracinomonas	0	0	0	0	0	0	0	0	0.719	0	0	0	0
Salinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0
SEEP_SRB1	0.719	0	0	0	0	0	0	0	0	0	0	0	0
Roseofilum_AO1_A	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseitalea	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0
SBZC_1223	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubrimonas	0	0	0	0	0	0	0	0	0	0	0	0	0
Spiribacter	0	0	0	0	0	0.719	0	0	0	0	0	0	0
Sphingorhabdus	0	0	0	0	0	0	0	0	0.719	0	0	0	0
Spirulina_PCC_6313	0	0	0	0	0	0	0	0	0	0	0	0	0
Sumerlaea	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0	0	0.719	0	0	0	0	0
Soortia	0	0.719	0	0	0	0	0	0	0	0	0	0	0
Shivajiella	0	0	0	0	0	0	0	0	0	0	0	0	0
Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0
Sideroxydans	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Silvanigrella	0	0	0	0	0	0	0	0.719	0	0	0	0	0
Silicimonas	0	0	0	0	0	0	0	0	0	0	0	0	0
DS001	0	0	0	0	0	0	0	0	0	0	0	0	0
DBS1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cysteiniphilum	0	0	0	0	0	0	0	0	0	0	0	0	0
Dechlorobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Desulfomicrobium	0	0	0	0	0	0	0	0	0	0.719	0	0	0
Desulfobacca	0	0	0	0	0	0	0	0	0	0	0	0.719	0
Desulfatiglans	0	0	0	0	0	0	0	0	0	0.719	0	0	0
Congregibacter	0	0	0	0	0	0	0	0	0	0	0.719	0	0
Cohaesibacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Cetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0
Crassaminicella	0	0	0	0	0	0	0	0	0	0	0	0	0
Cylindrospermopsis_CRJ1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryomorpha	0	0.719	0	0	0	0	0	0	0	0	0	0	0
Croceibacterium	0	0	0	0	0	0	0	0	0.719	0	0	0	0
GWE2_31_10	0	0	0	0	0	0	0	0	0	0	0	0	0
Fulvivirga	0	0	0.719	0	0	0	0	0	0	0	0	0	0
Erysipelothrix	0	0.719	0	0	0	0	0	0	0	0	0	0	0
Geitlerinema_PCC_7105	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Gemmatimonas	0	0	0	0	0	0	0	0	0	0	0	0	0
Geminocystis_PCC_6308	0	0	0	0	0	0	0	0.719	0	0	0	0	0
Donghicola	0	0	0	0	0	0	0	0	0	0	0	0	0
Dolichospermum_NIES41	0	0	0	0	0	0	0	0	0.719	0	0	0	0
Desulfosudis	0	0	0.719	0	0	0	0	0	0	0	0	0	0
Draconibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0
Ereboglobus	0	0	0	0	0.719	0	0	0	0	0	0	0	0
Ellin6067	0	0	0	0.719	0	0	0	0	0	0	0	0	0
ESFC_1	0	0	0	0	0	0	0	0	0	0	0	0	0
Andreesenia	0	0	0	0	0	0	0	0	0	0	0.719	0	0
Alkanindiges	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkaliflexus	0	0	0	0	0	0	0	0	0	0	0	0.719	0
Aquicella	0	0	0	0	0	0	0	0	0	0.719	0	0	0
Arcticibacterium	0	0	0	0	0	0.719	0	0	0	0	0	0	0
Aquimonas	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquiflexum	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidimangrovimonas	0.719	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthopleuribacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Actibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0
Agathobacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Aestuariibacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Planktophila	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Candidatus_Ovatusbacter	0	0.719	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Latescibacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Symbiobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Catellicoccus	0	0	0	0	0.719	0	0	0	0	0	0	0	0
Carboxylicivirga	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Tenderia	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospira	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Aurantiacibacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Arenibacterium	0	0	0	0	0	0	0	0	0	0.719	0	0	0
Campylobacter	0	0	0	0	0	0	0	0	0	0	0.719	0	0
Candidatus_Jidaibacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Entotheonella	0	0	0	0	0	0	0	0	0	0	0	0.719	0
Candidatus_Aquirestis	0	0	0	0	0	0	0	0	0	0	0	2.16	0
Oceanospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0
Oceanicaulis	0	0	0	0	0	0	0	0	0	0	0	0	0
OM27_clade	0	0	0	0	0	0	0	0	0	0.719	0	0	0
P3OB_42	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraglaciecola	0	0	0	0	0	0	0	0.719	0	0	0	0	0
Paracoccus	0	0	0	0	0	0	0	0	0	0	0	0.719	0
Paenibacillus	0	0	0	0	0	0	0	0	0.719	0	0	0	0
Motilimonas	0	0	0	0	0.719	0	0	0	0	0	0	0	0
Microcystis_PCC_7914	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylophaga	0	0	0	0	0	0	0	0	0	0	0	0	0
Nioella	0	0	0	0	0	0	0	0	0	0	0.719	0	0
Nostoc_PCC_7524	0	0	0	0	0	0	0	0	0	0	0	0	0
Nordella	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosococcus	0	0	0	0	0	0	0	0	0	0	0	0.719	0
Polaromonas	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleionea	0	0	0	0.719	0	0	0	0	0	0	0	0	0
Planktothricoides_SR001	0	0	0	0	0	0	0	0	0	0	0	0	0
Polycyclovorans	0	0	0.719	0	0	0	0	0	0	0	0	0	0
Pseudolysobacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorothrix_PCC_9006	0	0	0	0	0	0	0	0	0	0	0	0	0
Portibacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Phaeobacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvularcula	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeodactylibacter	0	0	0	0	0	0	0	0	0	0	0	0	0
Phycisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0
Phormidium_IAM_M_71	0.719	0	0	0	0	0	0	0	0	0	0	0	0
Phormidesmis_ANT.LACV5.1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyphomonas	0.719	0	0	0	0	0	0	0	0	0	0	0	0
Histidinibacterium	0	0	0	0	0	0	0	0	0	0.719	0	0	0
Halomonas	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Hypnocyclicus	0	0	0	0	0	0	0	0	0	0	0	0	0
JTB215	0	0	0	0	0	0	0	0	0	0	0	0	0
Insolitispirillum	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilumatobacter	0	0	0	0	0	0	0	0.719	0	0	0	0	0
Gracilimonas	0	0.719	0	0	0	0	0	0	0	0	0	0	0
Gillisia	0	0	0	0	0	0	0	0	0	0	0	0	0
Geofilum	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulosicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0
Haloferula	0	0	0	0	0	0	0	0	0	0	0	0	0
HTCC5015	0	0	0.719	0	0	0	0	0	0	0	0	0	0
HN_HF0106	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinilabilia	0	0	0	0	0	0.719	0	0	0	0	0	0	0
Maribellus	0	0	0	0	0	0	0	0	0	0	0	0	0
MSBL3	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinomonas	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylonatrum	0	0	0	0	0	0	0	0	0	0	0	0	0
Marivibrio	0	0	0	0	0	0	0	0.719	0	0	0	0	0
Marisediminicola	0	0	0	0	0	0	0	0	0	0	0	0	0
Leadbetterella	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Lacimonas	0	0	0	0	0	0	0	0	0	0	0	0	0
Ketogulonicigenium	0	0	0	0	0	0	0.719	0	0	0	0	0	0
Leptothrix	0	0	0	0	0	0	0.719	0	0	0	0	0	0
MD3_55	0	0	0	0	0	0	0	0.719	0	0	0	0	0
MBIC10086	0	0	0	0	0	0	0	0	0	0	0	0	0
Ligilactobacillus	0	0	0	0	0	0	0.719	0	0	0	0	0	0
