BugBase_ID	KEGG_Label
M00037_Melatonin_biosynthesis_tryptophan_serotonin_melatonin_	M00037  Melatonin biosynthesis, tryptophan => serotonin => melatonin [PATH:map00380]
M00038_Tryptophan_metabolism_tryptophan_kynurenine_2_aminomuconate_	M00038  Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate [PATH:map00380]
M00039_Lignin_biosynthesis_cinnamate_lignin_	M00039  Lignin biosynthesis, cinnamate => lignin [PATH:map00940]
M00040_Tyrosine_biosynthesis_prephanate_pretyrosine_tyrosine_	M00040  Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine [PATH:map00400]
M00042_Catecholamine_biosynthesis_tyrosine_dopamine_noradrenaline_adrenaline_	M00042  Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline [PATH:map00350]
M00043_Thyroid_hormone_biosynthesis_tyrosine_triiodothyronine_thyroxine_	M00043  Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine [PATH:map00350]
M00044_Tyrosine_degradation_tyrosine_homogentisate_	M00044  Tyrosine degradation, tyrosine => homogentisate [PATH:map00350]
M00045_Histidine_degradation_histidine_N_formiminoglutamate_glutamate_	M00045  Histidine degradation, histidine => N-formiminoglutamate => glutamate [PATH:map00340]
M00046_Pyrimidine_degradation_uracil_beta_alanine_thymine_3_aminoisobutanoate_	M00046  Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate [PATH:map00240]
M00047_Creatine_pathway_	M00047  Creatine pathway [PATH:map00330]
M00048_Inosine_monophosphate_biosynthesis_PRPP_glutamine_IMP_	M00048  Inosine monophosphate biosynthesis, PRPP + glutamine => IMP [PATH:map00230]
M00049_Adenine_ribonucleotide_biosynthesis_IMP_ADP_ATP_	M00049  Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]
M00050_Guanine_ribonucleotide_biosynthesis_IMP_GDP_GTP_	M00050  Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230]
M00051_Uridine_monophosphate_biosynthesis_glutamine_PRPP__UMP_	M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP [PATH:map00240]
M00052_Pyrimidine_ribonucleotide_biosynthesis_UMP_UDP_UTP_CDP_CTP_	M00052  Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240]
M00053_Pyrimidine_deoxyribonuleotide_biosynthesis_CDP_CTP_dCDP_dCTP_dTDP_dTTP_	M00053  Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP [PATH:map00240]
M00055_N_glycan_precursor_biosynthesis_	M00055  N-glycan precursor biosynthesis [PATH:map00510]
M00056_O_glycan_biosynthesis_mucin_type_core_	M00056  O-glycan biosynthesis, mucin type core [PATH:map00512]
M00057_Glycosaminoglycan_biosynthesis_linkage_tetrasaccharide_	M00057  Glycosaminoglycan biosynthesis, linkage tetrasaccharide [PATH:map00532]
M00058_Glycosaminoglycan_biosynthesis_chondroitin_sulfate_backbone_	M00058  Glycosaminoglycan biosynthesis, chondroitin sulfate backbone [PATH:map00532]
M00059_Glycosaminoglycan_biosynthesis_heparan_sulfate_backbone_	M00059  Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]
M00060_Lipopolysaccharide_biosynthesis_KDO2_lipid_A_	M00060  Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]
M00061_Uronic_acid_metabolism_	M00061  Uronic acid metabolism [PATH:map00040]
M00063_CMP_KDO_biosynthesis_	M00063  CMP-KDO biosynthesis [PATH:map00540]
M00064_ADP_L_glycero_D_manno_heptose_biosynthesis_	M00064  ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540]
M00065_GPI_anchor_biosynthesis_core_oligosaccharide_	M00065  GPI-anchor biosynthesis, core oligosaccharide [PATH:map00563]
M00066_Lactosylceramide_biosynthesis_	M00066  Lactosylceramide biosynthesis [PATH:map00600]
M00067_Cerebroside_and_sulfatide_biosynthesis_	M00067  Cerebroside and sulfatide biosynthesis [PATH:map00600]
M00068_Glycosphingolipid_biosynthesis_globo_series_LacCer_Gb4Cer_	M00068  Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer [PATH:map00603]
M00069_Glycosphingolipid_biosynthesis_ganglio_series_LacCer_GT3_	M00069  Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3 [PATH:map00604]
M00070_Glycosphingolipid_biosynthesis_lacto_series_LacCer_Lc4Cer_	M00070  Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer [PATH:map00601]
M00071_Glycosphingolipid_biosynthesis_neolacto_series_LacCer_nLc4Cer_	M00071  Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer [PATH:map00601]
M00072_Oligosaccharyltransferase_	M00072  Oligosaccharyltransferase [PATH:map00510]
M00073_N_glycan_precursor_trimming_	M00073  N-glycan precursor trimming [PATH:map00510]
M00074_N_glycan_biosynthesis_high_mannose_type_	M00074  N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]
M00075_N_glycan_biosynthesis_complex_type_	M00075  N-glycan biosynthesis, complex type [PATH:map00510]
M00076_Dermatan_sulfate_degradation_	M00076  Dermatan sulfate degradation [PATH:map00531]
M00077_Chondroitin_sulfate_degradation_	M00077  Chondroitin sulfate degradation [PATH:map00531]
M00078_Heparan_sulfate_degradation_	M00078  Heparan sulfate degradation [PATH:map00531]
M00079_Keratan_sulfate_degradation_	M00079  Keratan sulfate degradation [PATH:map00531]
M00080_Lipopolysaccharide_biosynthesis_inner_core_outer_core_O_antigen_	M00080  Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]
M00081_Pectin_degradation_	M00081  Pectin degradation [PATH:map00040]
M00082_Fatty_acid_biosynthesis_initiation_	M00082  Fatty acid biosynthesis, initiation [PATH:map00061]
M00083_Fatty_acid_biosynthesis_elongation_	M00083  Fatty acid biosynthesis, elongation [PATH:map00061]
M00085_Fatty_acid_biosynthesis_elongation_mitochondria_	M00085  Fatty acid biosynthesis, elongation, mitochondria [PATH:map00062]
M00086_beta_Oxidation_acyl_CoA_synthesis_	M00086  beta-Oxidation, acyl-CoA synthesis [PATH:map00071]
M00087_beta_Oxidation_	M00087  beta-Oxidation [PATH:map00071]
M00088_Ketone_body_biosynthesis_acetyl_CoA_acetoacetate_3_hydroxybutyrate_acetone_	M00088  Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072]
M00089_Triacylglycerol_biosynthesis_	M00089  Triacylglycerol biosynthesis [PATH:map00561]
M00090_Phosphatidylcholine_PC_biosynthesis_choline_PC_	M00090  Phosphatidylcholine (PC) biosynthesis, choline => PC [PATH:map00564]
M00091_Phosphatidylcholine_PC_biosynthesis_PE_PC_	M00091  Phosphatidylcholine (PC) biosynthesis, PE => PC [PATH:map00564]
M00092_Phosphatidylethanolamine_PE_biosynthesis_ethanolamine_PE_	M00092  Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE [PATH:map00564]
M00093_Phosphatidylethanolamine_PE_biosynthesis_PA_PS_PE_	M00093  Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE [PATH:map00564]
M00094_Ceramide_biosynthesis_	M00094  Ceramide biosynthesis [PATH:map00600]
M00095_C5_isoprenoid_biosynthesis_mevalonate_pathway_	M00095  C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]
M00096_C5_isoprenoid_biosynthesis_non_mevalonate_pathway_	M00096  C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]
M00097_beta_Carotene_biosynthesis_GGAP_beta_carotene_	M00097  beta-Carotene biosynthesis, GGAP => beta-carotene [PATH:map00906]
M00098_Acylglycerol_degradation_	M00098  Acylglycerol degradation [PATH:map00561]
M00099_Sphingosine_biosynthesis_	M00099  Sphingosine biosynthesis [PATH:map00600]
M00100_Sphingosine_degradation_	M00100  Sphingosine degradation [PATH:map00600]
M00101_Cholesterol_biosynthesis_squalene_2_3_epoxide_cholesterol_	M00101  Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]
M00102_Ergocalciferol_biosynthesis_	M00102  Ergocalciferol biosynthesis [PATH:map00100]
M00103_Cholecalciferol_biosynthesis_	M00103  Cholecalciferol biosynthesis [PATH:map00100]
M00104_Bile_acid_biosynthesis_cholesterol_cholate_	M00104  Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]
M00106_Conjugated_bile_acid_biosynthesis_cholate_taurocholate_glycocholate_	M00106  Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate [PATH:map00120]
M00107_Steroid_hormone_biosynthesis_cholesterol_prognenolone_progesterone_	M00107  Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone [PATH:map00140]
M00108_C21_Steroid_hormone_biosynthesis_progesterone_corticosterone_aldosterone_	M00108  C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone [PATH:map00140]
M00109_C21_Steroid_hormone_biosynthesis_progesterone_cortisol_cortisone_	M00109  C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140]
M00110_C19_C18_Steroid_hormone_biosynthesis_pregnenolone_androstenedione_estrone_	M00110  C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone [PATH:map00140]
M00112_Tocopherol_biosynthesis_	M00112  Tocopherol biosynthesis [PATH:map00130]
M00113_Jasmonic_acid_biosynthesis_	M00113  Jasmonic acid biosynthesis [PATH:map00592]
M00114_Ascorbate_biosynthesis_plants_glucose_6P_ascorbate_	M00114  Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010 map00051 map00053]
M00115_NAD_biosynthesis_aspartate_NAD_	M00115  NAD biosynthesis, aspartate => NAD [PATH:map00760]
M00116_Menaquinone_biosynthesis_chorismate_menaquinone_	M00116  Menaquinone biosynthesis, chorismate => menaquinone [PATH:map00130]
M00117_Ubiquinone_biosynthesis_prokaryotes_chorismate_ubiquinone_	M00117  Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone [PATH:map00130]
M00118_Glutathione_biosynthesis_glutamate_glutathione_	M00118  Glutathione biosynthesis, glutamate => glutathione [PATH:map00480]
M00119_Pantothenate_biosynthesis_valine_L_aspartate_pantothenate_	M00119  Pantothenate biosynthesis, valine/L-aspartate => pantothenate [PATH:map00770]
M00120_Coenzyme_A_biosynthesis_pantothenate_CoA_	M00120  Coenzyme A biosynthesis, pantothenate => CoA [PATH:map00770]
M00121_Heme_biosynthesis_glutamate_protoheme_siroheme_	M00121  Heme biosynthesis, glutamate => protoheme/siroheme [PATH:map00860]
M00122_Cobalamin_biosynthesis_cobinamide_cobalamin_	M00122  Cobalamin biosynthesis, cobinamide => cobalamin [PATH:map00860]
M00123_Biotin_biosynthesis_pimeloyl_CoA_biotin_	M00123  Biotin biosynthesis, pimeloyl-CoA => biotin [PATH:map00780]
M00124_Pyridoxal_biosynthesis_erythrose_4P_pyridoxal_5P_	M00124  Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P [PATH:map00750]
M00125_Riboflavin_biosynthesis_GTP_riboflavin_FMN_FAD_	M00125  Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD [PATH:map00740]
M00126_Tetrahydrofolate_biosynthesis_GTP_THF_	M00126  Tetrahydrofolate biosynthesis, GTP => THF [PATH:map00790 map00670]
M00127_Thiamine_biosynthesis_AIR_thiamine_P_thiamine_2P_	M00127  Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P [PATH:map00730]
M00128_Ubiquinone_biosynthesis_eukaryotes_chorismate_ubiquinone_	M00128  Ubiquinone biosynthesis, eukaryotes, chorismate => ubiquinone [PATH:map00130]
M00129_Ascorbate_biosynthesis_animals_glucose_1P_ascorbate_	M00129  Ascorbate biosynthesis, animals, glucose-1P => ascorbate [PATH:map00040 map00053]
M00130_Inositol_phosphate_metabolism_PI_PIP2_Ins_1_4_5_P3_Ins_1_3_4_5_P4_	M00130  Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]
M00131_Inositol_phosphate_metabolism_Ins_1_3_4_5_P4_Ins_1_3_4_P3_myo_inositol_	M00131  Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]
M00132_Inositol_phosphate_metabolism_Ins_1_3_4_P3_phytate_	M00132  Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate [PATH:map00562]
M00133_Polyamine_biosynthesis_arginine_agmatine_putrescine_spermidine_	M00133  Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine [PATH:map00330]
M00134_Polyamine_biosynthesis_arginine_ornithine_putrescine_	M00134  Polyamine biosynthesis, arginine => ornithine => putrescine [PATH:map00330]
M00135_GABA_biosynthesis_eukaryotes_putrescine_GABA_	M00135  GABA biosynthesis, eukaryotes, putrescine => GABA [PATH:map00330]
M00136_GABA_biosynthesis_prokaryotes_putrescine_GABA_	M00136  GABA biosynthesis, prokaryotes, putrescine => GABA [PATH:map00330]
M00137_Flavonoid_biosynthesis_4_coumaroyl_CoA_naringenin_apigenin_	M00137  Flavonoid biosynthesis, 4-coumaroyl-CoA => naringenin => apigenin [PATH:map00941]
M00138_Flavonoid_biosynthesis_naringenin_pelargonidin_	M00138  Flavonoid biosynthesis, naringenin => pelargonidin [PATH:map00941]
M00139_Morphine_biosynthesis_dopamine_morphine_	M00139  Morphine biosynthesis, dopamine => morphine [PATH:map00950]
M00140_C1_unit_interconversion_prokaryotes_	M00140  C1-unit interconversion, prokaryotes [PATH:map00670]
M00141_C1_unit_interconversion_eukaryotes_	M00141  C1-unit interconversion, eukaryotes [PATH:map00670]
M00142_NADH_ubiquinone_oxidoreductase_mitochondria_	M00142  NADH:ubiquinone oxidoreductase, mitochondria [PATH:map00190]
M00143_NADH_dehydrogenase_ubiquinone_Fe_S_protein_flavoprotein_complex_mitochondria_	M00143  NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria [PATH:map00190]
M00144_NADH_quinone_oxidoreductase_prokaryotes_	M00144  NADH:quinone oxidoreductase, prokaryotes [PATH:map00190]
M00145_NAD_P_H_quinone_oxidoreductase_chloroplasts_and_cyanobacteria_	M00145  NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria [PATH:map00190]
M00146_NADH_dehydrogenase_ubiquinone_1_alpha_subcomplex_	M00146  NADH dehydrogenase (ubiquinone) 1 alpha subcomplex [PATH:map00190]
M00147_NADH_dehydrogenase_ubiquinone_1_beta_subcomplex_	M00147  NADH dehydrogenase (ubiquinone) 1 beta subcomplex [PATH:map00190]
M00148_Succinate_dehydrogenase_ubiquinone_	M00148  Succinate dehydrogenase (ubiquinone) [PATH:map00190]
M00149_Succinate_dehydrogenase_prokaryotes_	M00149  Succinate dehydrogenase, prokaryotes [PATH:map00190]
M00150_Fumarate_reductase_prokaryotes_	M00150  Fumarate reductase, prokaryotes [PATH:map00190]
M00151_Cytochrome_bc1_complex_respiratory_unit_	M00151  Cytochrome bc1 complex respiratory unit [PATH:map00190]
M00152_Cytochrome_bc1_complex_	M00152  Cytochrome bc1 complex [PATH:map00190]
M00153_Cytochrome_d_ubiquinol_oxidase_	M00153  Cytochrome d ubiquinol oxidase [PATH:map00190]
M00154_Cytochrome_c_oxidase_	M00154  Cytochrome c oxidase [PATH:map00190]
M00155_Cytochrome_c_oxidase_prokaryotes_	M00155  Cytochrome c oxidase, prokaryotes [PATH:map00190]
M00156_Cytochrome_c_oxidase_cbb3_type_	M00156  Cytochrome c oxidase, cbb3-type [PATH:map00190]
M00157_F_type_ATPase_bacteria_	M00157  F-type ATPase, bacteria [PATH:map00190]
M00158_F_type_ATPase_eukaryotes_	M00158  F-type ATPase, eukaryotes [PATH:map00190]
M00159_V_type_ATPase_prokaryotes_	M00159  V-type ATPase, prokaryotes [PATH:map00190]
M00160_V_type_ATPase_eukaryotes_	M00160  V-type ATPase, eukaryotes [PATH:map00190]
M00161_Photosystem_II_	M00161  Photosystem II [PATH:map00195]
M00162_Cytochrome_b6f_complex_	M00162  Cytochrome b6f complex [PATH:map00195]
M00163_Photosystem_I_	M00163  Photosystem I [PATH:map00195]
M00164_ATP_synthase_	M00164  ATP synthase [PATH:map00195]
M00165_Reductive_pentose_phosphate_cycle_Calvin_cycle_	M00165  Reductive pentose phosphate cycle (Calvin cycle) [PATH:map00710]
M00166_Reductive_pentose_phosphate_cycle_RuBP_CO2_glyceraldehyde_3P_	M00166  Reductive pentose phosphate cycle, RuBP + CO2 => glyceraldehyde-3P [PATH:map00710]
M00167_Reductive_pentose_phosphate_cycle_glyceraldehyde_3P_RuBP_	M00167  Reductive pentose phosphate cycle, glyceraldehyde-3P => RuBP [PATH:map00710]
M00168_CAM_Crassulacean_acid_metabolism_dark_	M00168  CAM (Crassulacean acid metabolism), dark [PATH:map00710]
M00169_CAM_Crassulacean_acid_metabolism_light_	M00169  CAM (Crassulacean acid metabolism), light [PATH:map00710]
M00170_C4_dicarboxylic_acid_cycle_phosphoenolpyruvate_carboxykinase_type_	M00170  C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type [PATH:map00710]
M00171_C4_dicarboxylic_acid_cycle_NAD_malic_enzyme_type_	M00171  C4-dicarboxylic acid cycle, NAD+ -malic enzyme type [PATH:map00710]
M00172_C4_dicarboxylic_acid_cycle_NADP_malic_enzyme_type_	M00172  C4-dicarboxylic acid cycle, NADP+ -malic enzyme type [PATH:map00710]
M00173_Reductive_citric_acid_cycle_Arnon_Buchanan_cycle_	M00173  Reductive citric acid cycle (Arnon-Buchanan cycle) [PATH:map00720]
M00174_Methane_oxidation_methylotroph_methane_CO2_	M00174  Methane oxidation, methylotroph, methane => CO2 [PATH:map00680]
M00175_Nitrogen_fixation_nitrogen_ammonia_	M00175  Nitrogen fixation, nitrogen => ammonia [PATH:map00910]
M00176_Sulfur_reduction_sulfate_H2S_	M00176  Sulfur reduction, sulfate => H2S [PATH:map00920]
M00177_Ribosome_eukaryotes_	M00177  Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]
M00178_Ribosome_bacteria_	M00178  Ribosome, bacteria [PATH:map03010] [BR:ko03011]
M00179_Ribosome_archaea_	M00179  Ribosome, archaea [PATH:map03010] [BR:ko03011]
M00180_RNA_polymerase_II_eukaryotes_	M00180  RNA polymerase II, eukaryotes [PATH:map03020 map05016] [BR:ko03021 ko03400]
M00181_RNA_polymerase_III_eukaryotes_	M00181  RNA polymerase III, eukaryotes [PATH:map03020 map04623] [BR:ko03021]
M00182_RNA_polymerase_I_eukaryotes_	M00182  RNA polymerase I, eukaryotes [PATH:map03020] [BR:ko03021]
M00183_RNA_polymerase_bacteria_	M00183  RNA polymerase, bacteria [PATH:map03020] [BR:ko03021 ko03400]
M00184_RNA_polymerase_archaea_	M00184  RNA polymerase, archaea [PATH:map03020] [BR:ko03021]
M00185_Sulfate_transport_system_	M00185  Sulfate transport system [PATH:map02010] [BR:ko02000]
M00186_Tungstate_transport_system_	M00186  Tungstate transport system [PATH:map02010] [BR:ko02000]
M00188_NitT_TauT_family_transport_system_	M00188  NitT/TauT family transport system [BR:ko02000]
M00189_Molybdate_transport_system_	M00189  Molybdate transport system [PATH:map02010] [BR:ko02000]
M00190_Iron_III_transport_system_	M00190  Iron(III) transport system [PATH:map02010] [BR:ko02000]
M00191_Thiamine_transport_system_	M00191  Thiamine transport system [PATH:map02010] [BR:ko02000]
M00192_Putative_thiamine_transport_system_	M00192  Putative thiamine transport system [BR:ko02000]
M00193_Putative_spermidine_putrescine_transport_system_	M00193  Putative spermidine/putrescine transport system [BR:ko02000]
M00194_Maltose_maltodextrin_transport_system_	M00194  Maltose/maltodextrin transport system [PATH:map02010] [BR:ko02000]
M00195_Maltooligosaccharide_transport_system_	M00195  Maltooligosaccharide transport system [PATH:map02010] [BR:ko02000]
M00196_Multiple_sugar_transport_system_	M00196  Multiple sugar transport system [PATH:map02010] [BR:ko02000]
M00197_Putative_fructooligosaccharide_transport_system_	M00197  Putative fructooligosaccharide transport system [BR:ko02000]
M00198_Putative_sn_glycerol_phosphate_transport_system_	M00198  Putative sn-glycerol-phosphate transport system [PATH:map02010] [BR:ko02000]
M00199_L_Arabinose_lactose_transport_system_	M00199  L-Arabinose/lactose transport system [PATH:map02010] [BR:ko02000]
M00200_Putative_sorbitol_mannitol_transport_system_	M00200  Putative sorbitol/mannitol transport system [PATH:map02010] [BR:ko02000]
M00201_alpha_Glucoside_transport_system_	M00201  alpha-Glucoside transport system [PATH:map02010] [BR:ko02000]
M00202_Oligogalacturonide_transport_system_	M00202  Oligogalacturonide transport system [PATH:map02010] [BR:ko02000]
M00203_Glucose_arabinose_transport_system_	M00203  Glucose/arabinose transport system [PATH:map02010] [BR:ko02000]
M00204_Trehalose_maltose_transport_system_	M00204  Trehalose/maltose transport system [PATH:map02010] [BR:ko02000]
M00205_N_Acetylglucosamine_transport_system_	M00205  N-Acetylglucosamine transport system [PATH:map02010] [BR:ko02000]
M00206_Cellobiose_transport_system_	M00206  Cellobiose transport system [PATH:map02010] [BR:ko02000]
M00207_Putative_multiple_sugar_transport_system_	M00207  Putative multiple sugar transport system [BR:ko02000]
M00208_Glycine_betaine_proline_transport_system_	M00208  Glycine betaine/proline transport system [PATH:map02010] [BR:ko02000]
M00209_Osmoprotectant_transport_system_	M00209  Osmoprotectant transport system [PATH:map02010] [BR:ko02000]
M00210_Putative_ABC_transport_system_	M00210  Putative ABC transport system [BR:ko02000]
M00211_Putative_ABC_transport_system_	M00211  Putative ABC transport system [BR:ko02000]
M00212_Ribose_transport_system_	M00212  Ribose transport system [PATH:map02010] [BR:ko02000]
M00213_L_Arabinose_transport_system_	M00213  L-Arabinose transport system [PATH:map02010] [BR:ko02000]
M00214_Methyl_galactoside_transport_system_	M00214  Methyl-galactoside transport system [PATH:map02010] [BR:ko02000]
M00215_D_Xylose_transport_system_	M00215  D-Xylose transport system [PATH:map02010] [BR:ko02000]
M00216_Multiple_sugar_transport_system_	M00216  Multiple sugar transport system [PATH:map02010] [BR:ko02000]
M00217_D_Allose_transport_system_	M00217  D-Allose transport system [PATH:map02010] [BR:ko02000]
M00218_Fructose_transport_system_	M00218  Fructose transport system [PATH:map02010] [BR:ko02000]
M00219_AI_2_transport_system_	M00219  AI-2 transport system [PATH:map02010] [BR:ko02000]
M00220_Rhamnose_transport_system_	M00220  Rhamnose transport system [PATH:map02010] [BR:ko02000]
M00221_Putative_simple_sugar_transport_system_	M00221  Putative simple sugar transport system [BR:ko02000]
M00222_Phosphate_transport_system_	M00222  Phosphate transport system [PATH:map02010] [BR:ko02000]
