Genus	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Sagittula	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Lentimicrobium	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Nitrincola	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Leptolyngbya PCC-6406	0	0	0	0	0	0	0	0	0.719	0	0	0	0.1
Muriicola	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Ruegeria	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ruminiclostridium	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Zag_111	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Roseomonas	0	0	0	0	0	0	0	0	0.719	0	0	0.719	0.1
Acidibacter	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
Pseudohaliea	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Alishewanella	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Limnothrix	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nautella	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Luminiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Mariniblastus	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Pseudodesulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0.1
OM60NOR5 clade	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lactococcus	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Phycocomes	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Desulfotignum	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfosarcina	0	0	0	0	0	0	0	0	0	0	0	1.44	0.1
Tateyamaria	0	0	0	0	0	0	0	0	0	0	0	0	0.1
UBA6140	0	0	0	0	0	0	0	0.719	0.719	0	0	0	0.1
Enterobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Belliella	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
RBG-16-49-21	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Calothrix PCC-6303	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
CL500-3	0	0	0	0	0	0	0	0.719	0	0	0	0	0.1
Terasakiella	0	0	0	0	0	0	0	0.719	0	0	0	0	0.1
Candidatus Methylopumilus	0	0	0	0	0	0	0	0	1.44	0	0	0	0.1
Christensenellaceae R-7 group	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Castellaniella	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Thiorhodovibrio	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Candidatus Midichloria	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Candidatus Berkiella	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Planctomicrobium	0.719	0	0	0	0	0	0	0	0	0	0	0	0.1
Cyclobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Clade Ia	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Truepera	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Escherichia-Shigella	0	0	0	0	0	0	0	0.719	0	0	0	0.719	0.1
Sediminispirochaeta	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Schizothrix LEGE 07164	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Halobacteriovorax	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Haliea	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Halioglobus	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Jannaschia	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Anderseniella	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Salinirepens	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ideonella	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
Pseudoalteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Vallitalea	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Streptococcus	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Reinekea	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Geothermobacter	0	0	0	0	0	0	0	0.719	0	0	0	0.719	0.1
Pseudotenacibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pararhodobacter	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Rhodophyticola	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudomethylobacillus	0	0	0	0	0	0	0	0.719	0.719	0	0	0	0.0
R76-B128	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Robiginitalea	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rickettsia	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rhodospirillum	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Roseibium	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Puniceicoccus	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Rhodoluna	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Thioalkalivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Thalassocola	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Thioflavicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Thiolinea	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Thiogranum	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Terrisporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Synechococcus IR11	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Symphothece PCC-7002	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Synechococcus MBIC10613	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Terrimicrobium	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Syntrophotalea	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Wollea	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Wenzhouxiangella	0	0	0	0	0	0	0	0	0	0	0	0	0.0
alphaI cluster	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
livecontrolB21	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
endosymbionts	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Wandonia	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Thiovulum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Thiophaeococcus	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
UCG-004	0	0	0	0	0	0	0	0	0	0	0	0	0.0
WCHB1-32	0	0	0	0	0	0	0	0	0	0	0	0	0.0
UCG-012	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Sva0081 sediment group	0	0	0	0	0	0	0	0	0	0	0	0	0.0
SKP-2	0	0	0	0	0	0	0	0	0	0	0	0	0.0
SEEP-SRB4	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Salibacter	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
Sandaracinomonas	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Salinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0.0
SEEP-SRB1	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Roseofilum AO1-A	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Roseitalea	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rubribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.0
SBZC-1223	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rubrimonas	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Spiribacter	0	0	0	0	0	0.719	0	0	0	0	0	0	0.0
Sphingorhabdus	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Spirulina PCC-6313	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Sumerlaea	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Staphylococcus	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Soortia	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
Shivajiella	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Sideroxydans	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Silvanigrella	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Silicimonas	0	0	0	0	0	0	0	0	0	0	0	0	0.0
DS001	0	0	0	0	0	0	0	0	0	0	0	0	0.0
DBS1	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Cysteiniphilum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Dechlorobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Desulfomicrobium	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Desulfobacca	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Desulfatiglans	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Congregibacter	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Cohaesibacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Cetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Crassaminicella	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Cylindrospermopsis CRJ1	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Cryomorpha	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
Croceibacterium	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
GWE2-31-10	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Fulvivirga	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Erysipelothrix	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
Geitlerinema PCC-7105	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Gemmobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Gemmatimonas	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Geminocystis PCC-6308	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Donghicola	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Dolichospermum NIES41	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Desulfosudis	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Draconibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Ereboglobus	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Ellin6067	0	0	0	0.719	0	0	0	0	0	0	0	0	0.0
ESFC-1	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Andreesenia	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Alkanindiges	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Alkaliflexus	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Aquicella	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Arcticibacterium	0	0	0	0	0	0.719	0	0	0	0	0	0	0.0
Aquimonas	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Aquiflexum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Acidimangrovimonas	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Acetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Acanthopleuribacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Actibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Agathobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Aestuariibacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Planktophila	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Candidatus Ovatusbacter	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Latescibacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Symbiobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Catellicoccus	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Carboxylicivirga	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Tenderia	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Azospira	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Aurantiacibacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Arenibacterium	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Campylobacter	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Candidatus Jidaibacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Entotheonella	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Candidatus Aquirestis	0	0	0	0	0	0	0	0	0	0	0	2.16	0.0
Oceanospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Oceanicaulis	0	0	0	0	0	0	0	0	0	0	0	0	0.0
OM27 clade	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
P3OB-42	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Paraglaciecola	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Paracoccus	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Paenibacillus	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Motilimonas	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Microcystis PCC-7914	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Methylophaga	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Nioella	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Nostoc PCC-7524	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Nordella	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Nitrosococcus	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Polaromonas	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Pleionea	0	0	0	0.719	0	0	0	0	0	0	0	0	0.0
Planktothricoides SR001	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Polycyclovorans	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Pseudolysobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Prochlorothrix PCC-9006	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Portibacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Phaeobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Peptoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Parvularcula	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Phaeodactylibacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Phycisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Phormidium IAM M-71	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Phormidesmis ANT.LACV5.1	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Hyphomonas	0.719	0	0	0	0	0	0	0	0	0	0	0	0.0
Histidinibacterium	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Halomonas	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Hypnocyclicus	0	0	0	0	0	0	0	0	0	0	0	0	0.0
JTB215	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Insolitispirillum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Ilumatobacter	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Gracilimonas	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
Gillisia	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Geofilum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Granulosicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Haloferula	0	0	0	0	0	0	0	0	0	0	0	0	0.0
HTCC5015	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
HN-HF0106	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Marinilabilia	0	0	0	0	0	0.719	0	0	0	0	0	0	0.0
Maribellus	0	0	0	0	0	0	0	0	0	0	0	0	0.0
MSBL3	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Marinomonas	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Methylonatrum	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Marivibrio	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Marisediminicola	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Leadbetterella	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Lacimonas	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Ketogulonicigenium	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Leptothrix	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
MD3-55	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
MBIC10086	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Ligilactobacillus	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
