Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Cellulomonadaceae	0.07	0.01	0	0.02	0	0.03	0.12	0.04	0.05	0.04	0.07	0.03	0.01	0.02	0.08	0.02	0.04	0.11	0.1
Dermacoccaceae	0.05	0.13	0.03	0.06	0.04	0.01	0.09	0.01	0.05	0.05	0.06	0.08	0.05	0.03	0.01	0.04	0.05	0.02	0.1
Chromobacteriaceae	0.01	0.01	0	0	0.02	0.03	0.03	0.02	0.01	0	0.03	0.02	0.02	0.03	0.02	0	0.01	0.01	0.1
Chlamydiaceae	0.02	0.01	0	0	0.01	0.02	0.04	0.02	0.04	0.07	0.01	0	0	0	0.09	0.01	0	0.06	0.1
Akkermansiaceae	0.02	0	0.01	0	0.02	0.04	0.01	0.02	0.06	0.04	0.03	0.02	0.02	0.01	0.03	0.02	0.01	0	0.1
Acidimicrobiaceae	0.01	0.04	0.02	0.05	0.06	0.05	0.11	0.04	0.02	0.08	0.02	0.03	0.03	0.1	0.07	0.1	0.08	0.03	0.1
Acidiferrobacteraceae	0.02	0.02	0.01	0	0	0	0.03	0.06	0.01	0.04	0.04	0.02	0	0.01	0.02	0.06	0	0.02	0.1
Alicyclobacillaceae	0	0	0	0.01	0.01	0.03	0.04	0.04	0	0.02	0.19	0.01	0	0.01	0	0.09	0	0	0.1
Atopobiaceae	0.04	0.01	0.03	0	0	0.01	0.15	0.07	0.06	0	0.05	0.16	0.03	0.03	0.1	0.07	0.02	0.02	0.1
Anaplasmataceae	0	0.02	0	0	0.04	0.03	0.01	0.03	0	0	0.01	0.03	0	0.03	0.04	0.02	0	0.02	0.1
Alteromonadaceae	0.05	0	0.04	0.02	0.09	0.04	0.05	0.01	0.1	0.06	0.04	0.04	0.09	0.06	0.05	0.06	0.05	0.03	0.1
Paraconexibacteraceae	0	0.01	0	0.01	0	0.02	0.01	0	0.01	0	0	0.03	0	0	0.04	0.01	0.02	0.01	0.1
Nocardiaceae	0.08	0.13	0.13	0.01	0.07	0.04	0.06	0.11	0.06	0.11	0.12	0.07	0.17	0.03	0.21	0.12	0.03	0.06	0.1
Moraxellaceae	0.03	0.03	0.02	0.03	0.15	0.01	0.02	0.05	0.03	0.07	0.04	0.07	0.06	0.03	0.06	0.03	0.01	0.06	0.1
Peptostreptococcaceae	0	0	0.02	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0.07	0	0	0	0.01	0.01	0.01	0.1
Propionibacteriaceae	0.06	0.03	0	0.02	0	0.04	0.06	0.02	0.02	0.02	0	0.01	0.01	0.02	0.02	0	0	0.02	0.1
Pirellulaceae	0.01	0	0.03	0.01	0	0	0.01	0	0	0	0.05	0.01	0.01	0	0.02	0	0.01	0	0.1
Phycisphaeraceae	0.04	0.04	0	0.02	0	0.01	0.04	0.01	0	0	0.02	0.05	0.02	0.01	0.01	0.03	0	0.02	0.1
Egibacteraceae	0.07	0.04	0.05	0	0.01	0.05	0.06	0.15	0.04	0.04	0.07	0.11	0.01	0.08	0.06	0.06	0.02	0.03	0.1
Desulfovibrionaceae	0.04	0.02	0	0	0	0	0.01	0.01	0	0.01	0.01	0.02	0	0	0.04	0.02	0	0.02	0.1
Desulfomicrobiaceae	0.03	0.05	0.01	0.06	0	0.03	0.05	0.03	0.04	0.03	0.05	0.04	0.04	0.07	0.03	0.04	0.01	0.01	0.1
Geminicoccaceae	0.09	0.09	0.06	0.07	0.03	0.06	0.1	0.05	0.1	0.07	0.11	0.17	0.07	0.09	0.03	0.05	0.07	0.08	0.1
Lachnospiraceae	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.1
Kineosporiaceae	0.05	0.02	0.03	0.03	0	0.03	0.05	0.04	0.01	0.02	0	0.03	0.01	0.01	0.04	0.01	0.04	0.01	0.1
Gordoniaceae	0	0	0.04	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0.03	0.02	0	0.1
