Pathway	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	2305.02	887.82	3889.0	1185.1	1307.42	988.2	6581.6	646.82	2153.21	703.3399999999999	3551.6000000000004	1028.21	2332.17	2488.7499999999995	2107.749999999999	3263.57	2511.4400000000005	2589.32
Biofilm formation - Vibrio cholerae [PATH:ko05111]	7154.070000000001	2312.4400000000005	6514.65	2922.1000000000004	3761.0899999999997	1342.85	14256.03	2693.3599999999997	6783.219999999999	3105.51	9046.009999999998	2360.7300000000005	5592.3	5325.910000000001	5931.620000000001	7798.639999999999	6473.3	7497.15
Biosynthesis of ansamycins [PATH:ko01051]	2357.07	1101.35	2923.9299999999994	1394.3	1659.8799999999994	777.95	3755.52	974.59	1843.94	867.06	2840.71	871.0300000000002	1739.57	1800.2700000000002	1989.65	2554.29	2030.18	2779.09
Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	292.62	81.59	346.58000000000004	23.8	119.12	3.0	878.2099999999999	175.5	225.0	264.0	361.0	203.57000000000002	335.59000000000003	872.5299999999999	774.0000000000001	833.1699999999998	701.6600000000001	1006.8799999999999
Biosynthesis of unsaturated fatty acids [PATH:ko01040]	23.25	22.25	0.75	33.5	99.83	8.75	352.99	21.83	100.0	15.0	170.5	47.53	136.78	308.63	232.22999999999996	352.51	192.75	132.26
Biosynthesis of vancomycin group antibiotics [PATH:ko01055]	1009.4	556.8	1264.4599999999996	762.3000000000002	820.1700000000003	259.8	1954.0	462.73	1037.85	636.92	1375.4899999999998	403.81	924.57	1077.29	1158.5800000000004	1362.4299999999996	960.3	1372.4599999999996
Biosynthesis of various secondary metabolites - part 2 [PATH:ko00998]	2168.8199999999997	1201.54	2836.2200000000007	1139.6	1323.2200000000003	486.1	4666.43	1153.92	1711.21	1326.26	2574.57	755.8499999999998	2189.92	2379.9	2539.06	3145.68	2289.2900000000004	2315.26
Biotin metabolism [PATH:ko00780]	8941.41	3820.9799999999996	9315.7	4622.900000000001	5626.84	1927.95	17206.31	4043.9699999999993	8771.850000000002	4585.719999999999	12179.079999999998	3103.4300000000003	8612.19	10158.190000000002	10073.019999999999	13905.260000000002	9094.92	10459.319999999998
Bladder cancer [PATH:ko05219]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	2.0	1.0	0.0	10.0	4.0	1.0	7.0	13.0	20.0	21.33
Butanoate metabolism [PATH:ko00650]	12008.810000000001	6144.529999999999	15960.62	8572.500000000002	9063.68	3034.5499999999993	29380.879999999994	6907.459999999998	16758.609999999997	8068.709999999999	22059.09	5821.609999999999	13998.46	14381.270000000002	14813.449999999999	20358.319999999996	14711.95	18254.87
C5-Branched dibasic acid metabolism [PATH:ko00660]	5099.06	3047.5299999999993	7057.5	3853.8000000000006	4726.76	1745.1	11220.99	1748.9500000000005	3737.3300000000004	2079.52	6106.400000000001	1860.6000000000004	4343.710000000001	5947.959999999999	5886.299999999998	8598.15	7008.9800000000005	7713.1900000000005
CD molecules [BR:ko04090]	795.39	181.32	656.2800000000002	164.1	415.71	8.75	1457.4	351.5	889.0	574.0	1323.5	307.8400000000001	690.0	818.0	938.0	1010.0	321.0	867.5
Calcium signaling pathway [PATH:ko04020]	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0	3.0	2.0	25.0	19.0	57.0	35.0	62.0
Caprolactam degradation [PATH:ko00930]	0.0	0.0	0.0	0.0	2.5	0.0	165.0	12.0	41.0	3.5	80.5	30.0	28.0	2.0	3.5	3.5	27.0	8.0
Carbapenem biosynthesis [PATH:ko00332]	1786.02	1032.48	2383.3399999999992	1205.6000000000004	1487.42	504.1	2483.5199999999995	374.84	801.9	346.09	1349.09	489.3	1145.5900000000004	1720.83	1666.8399999999995	2466.8600000000006	2168.78	1817.7800000000007
Carbohydrate digestion and absorption [PATH:ko04973]	220.5	148.76999999999995	388.37	103.3	80.42	28.5	1187.65	385.5	357.44000000000005	377.09	622.1800000000001	220.54	458.22	835.8199999999998	901.47	1103.62	823.4300000000002	858.61
Carbohydrate metabolism	1306.3600000000001	891.6700000000003	1951.7400000000005	1182.3999999999999	1312.79	374.3	3359.79	816.9200000000001	2082.11	1345.24	2657.15	776.03	1297.78	1898.3899999999999	2147.5700000000006	2885.87	2175.37	2747.1200000000003
Carbon fixation in photosynthetic organisms [PATH:ko00710]	11391.090000000002	6094.0599999999995	16264.560000000001	7220.900000000002	9095.77	3217.9500000000007	26613.980000000003	7408.45	12875.920000000002	7689.45	18830.190000000002	5517.900000000001	12695.589999999998	14487.15	15426.250000000002	19820.190000000002	14848.74	18325.689999999995
Carbon fixation pathways in prokaryotes [PATH:ko00720]	20676.42	10303.279999999997	24558.529999999988	12955.999999999996	14518.019999999997	4607.200000000002	45179.91	9969.39	21303.010000000006	11261.84	31666.219999999994	8727.840000000002	20463.27	22081.550000000007	23575.790000000008	30032.65000000001	20935.510000000006	26601.200000000004
Cardiac muscle contraction [PATH:ko04260]	0.0	0.0	0.0	0.0	0.0	0.0	375.0	24.0	119.5	18.0	198.5	23.099999999999998	293.79999999999995	365.79999999999995	499.59999999999997	525.5999999999999	282.20000000000005	171.79999999999998
Carotenoid biosynthesis [PATH:ko00906]	24.0	0.0	0.0	0.0	5.33	0.0	137.5	8.33	37.5	6.5	58.0	22.2	107.6	116.1	162.7	149.2	90.9	70.6
Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]	6548.99	2058.770000000001	5678.37	3120.5000000000005	4233.48	1189.75	11724.749999999996	3449.2400000000002	6369.730000000001	3757.5700000000006	9237.670000000002	2347.4100000000003	5781.29	7492.02	7794.89	10151.68	7686.749999999999	7631.39
Cell adhesion molecules [BR:ko04515]	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	2.0	5.0	10.0	4.0	6.0	3.0	2.0
Cell adhesion molecules [PATH:ko04514]	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	2.0	5.0	10.0	4.0	6.0	3.0	2.0
Cell cycle - Caulobacter [PATH:ko04112]	9724.750000000002	6159.0199999999995	15494.23	7165.100000000001	8502.23	2749.35	25778.55	6763.95	12055.160000000002	6983.63	17651.489999999998	5089.3	11980.569999999998	14506.139999999994	14935.169999999998	19362.5	14494.370000000004	16827.579999999994
Cell cycle - yeast [PATH:ko04111]	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	5.0	0.0	1.0	2.0	4.0	1.0	3.0	5.0	2.0	6.0
Cell cycle [PATH:ko04110]	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	5.0	0.0	1.0	2.0	4.0	1.0	3.0	5.0	2.0	6.0
Cell growth	16566.27	11197.93	26732.849999999995	10987.9	11216.04	6407.9500000000035	8274.869999999999	1508.92	3881.96	2108.9900000000007	5636.52	1988.48	3904.66	2726.1800000000007	3255.27	3931.2900000000004	2921.36	4748.0599999999995
Cell motility	0.5	22.0	86.0	39.0	0.0	49.0	163.66	10.0	42.5	10.0	76.0	14.87	33.44	81.78	21.049999999999997	72.02	67.91	35.6
Central carbon metabolism in cancer [PATH:ko05230]	5535.99	3199.32	7049.550000000001	3594.4000000000005	5265.13	1639.85	10017.74	3102.41	3923.3199999999997	2565.75	5483.33	1898.2	4763.949999999999	8135.32	7229.160000000001	9451.75	8069.96	7675.45
Chagas disease [PATH:ko05142]	0.25	22.25	0.75	33.5	94.5	8.75	190.42	13.17	65.75	14.0	69.5	45.58	145.5	119.67	114.33	99.17	96.33	144.49
Chaperones and folding catalysts [BR:ko03110]	22557.399999999998	12522.919999999998	31282.840000000004	14726.400000000001	18553.329999999998	5696.400000000002	50744.690000000024	12766.72	23427.750000000007	13967.74	34160.37	10021.070000000005	23827.39999999999	32480.069999999985	33064.909999999996	42291.899999999965	29485.32	34406.67999999998
Chemical carcinogenesis [PATH:ko05204]	0.0	0.0	0.0	0.0	0.0	0.0	57.0	14.0	5.0	13.0	2.0	6.4	115.19999999999999	206.2	312.4	279.4	216.8	65.2
Chloroalkane and chloroalkene degradation [PATH:ko00625]	1139.51	1164.2800000000002	1614.1599999999996	1529.5	1825.55	360.65	2460.22	662.92	855.12	503.09999999999997	1314.3300000000002	415.76000000000005	984.24	1832.6200000000003	1791.6000000000004	2076.67	2102.47	1357.2699999999998
Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]	127.0	209.07	273.17	265.0	244.92	30.0	191.66	82.83	77.85	42.66	82.43	50.019999999999996	151.95	701.9199999999998	611.03	691.88	899.8599999999998	441.17
Choline metabolism in cancer [PATH:ko05231]	368.26	254.39	294.2100000000001	298.5	425.78999999999996	69.0	917.7399999999999	293.34000000000003	503.83000000000004	274.34000000000003	827.49	201.11	449.27	216.28	328.7099999999999	390.18	212.41	402.92999999999995
Cholinergic synapse [PATH:ko04725]	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.5	1.5	0.0	0.0	0.0	5.0	5.0	3.0	0.5	3.0	2.0
Chromosome and associated proteins [BR:ko03036]	35939.98999999999	21790.810000000005	51273.159999999996	25590.999999999993	30455.649999999998	9450.35	77306.60000000002	20880.070000000007	37615.98999999999	21612.150000000005	52717.29000000004	15139.090000000002	35754.56	45113.61999999999	47569.38999999998	60002.01999999998	44208.299999999996	51982.43
Citrate cycle (TCA cycle) [PATH:ko00020]	13266.940000000002	5738.29	14796.070000000002	7725.500000000002	8772.03	2447.7000000000003	31594.39	6456.67	14112.809999999998	7238.01	21658.090000000004	5792.2	13267.830000000004	15944.140000000007	16938.350000000006	20482.49	13170.299999999997	17709.559999999998
Cofactor metabolism	455.89	207.66	426.83	361.8	447.13	105.55	1655.32	403.91	742.94	416.90999999999997	881.57	233.36	667.85	684.9899999999999	837.3199999999998	971.56	588.12	673.2600000000001
Colorectal cancer [PATH:ko05210]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Cushing syndrome [PATH:ko04934]	14.5	30.33	115.67	21.0	61.0	8.0	842.9099999999999	154.59999999999997	290.59	96.67	440.73	103.61	350.03	330.7	388.29	589.18	419.32	483.0
Cyanoamino acid metabolism [PATH:ko00460]	5232.430000000001	2932.2799999999997	6638.24	3263.6000000000004	4653.41	1366.85	7737.43	1928.09	3732.74	2517.08	5106.7300000000005	1417.87	3710.3199999999997	3855.5899999999992	4309.37	5344.68	3942.900000000001	4805.009999999998
Cysteine and methionine metabolism [PATH:ko00270]	22495.429999999997	13392.969999999996	32321.569999999992	16601.7	19812.47	6772.450000000003	43062.15	11600.31	19682.370000000006	11620.259999999998	28076.31	8829.73	20696.28	27082.530000000002	28567.380000000005	37338.14000000001	29968.770000000004	33662.13999999999
Cytochrome P450 [BR:ko00199]	0.0	0.0	0.0	0.0	0.0	0.0	20.67	0.0	0.0	0.0	0.0	2.33	17.0	103.67	55.33	40.67	48.33	72.66
Cytoskeleton proteins [BR:ko04812]	8936.11	6500.639999999999	14120.38	7300.2	8549.67	3160.25	15981.640000000001	3378.84	7992.82	3933.03	10940.349999999999	3011.94	6812.03	6589.329999999998	7429.42	9225.21	6868.35	8858.470000000001
D-Alanine metabolism [PATH:ko00473]	1923.02	1276.9499999999996	2927.35	1649.6000000000004	1818.92	573.1	5318.800000000001	2214.09	2869.91	1770.07	3812.54	1216.29	2977.3	4159.23	4125.22	5459.32	4522.5599999999995	4395.2
D-Arginine and D-ornithine metabolism [PATH:ko00472]	16.0	9.33	78.67	116.0	103.0	34.0	267.33000000000004	29.0	72.34	33.66	187.66	35.0	158.01	103.0	140.0	417.33000000000004	310.33000000000004	385.0
D-Glutamine and D-glutamate metabolism [PATH:ko00471]	3138.9300000000003	1709.7499999999995	4162.4299999999985	2115.4000000000005	2655.7200000000003	785.1500000000001	7392.59	1955.5	3685.98	2050.81	5073.93	1491.6399999999999	3634.8699999999994	4392.409999999999	4493.72	6016.7300000000005	4589.590000000002	5500.359999999998
DNA repair and recombination proteins [BR:ko03400]	60593.21000000002	37607.63	90019.36999999997	44311.60000000002	53198.329999999965	17527.349999999984	137969.44000000003	40139.98999999999	66723.59	40985.14000000004	93503.50999999998	28243.949999999997	67060.70000000001	88124.03000000001	89029.24000000009	116103.59000000008	89516.39000000001	101342.64000000003
DNA replication [PATH:ko03030]	13150.820000000002	7988.409999999998	19722.759999999995	9469.2	11557.819999999996	3747.3000000000006	31715.370000000003	9068.21	15327.570000000003	9096.04	21956.790000000008	6500.7699999999995	15889.379999999997	20732.37	20829.480000000003	27439.25	21024.170000000006	23269.749999999993
DNA replication proteins [BR:ko03032]	26137.049999999992	15865.879999999997	37815.30999999998	17700.899999999998	22287.959999999995	6784.550000000002	55204.21000000001	16943.97	27124.699999999997	17000.64	38563.15000000001	11369.799999999997	26961.459999999995	35784.57999999999	36535.6	46699.21	34545.18	39457.08999999998
Dilated cardiomyopathy [PATH:ko05414]	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	2.0	5.0	10.0	4.0	6.0	3.0	2.0
Dioxin degradation [PATH:ko00621]	540.14	20.85	135.08999999999997	15.0	110.0	17.0	652.61	214.33	289.69000000000005	182.08999999999997	368.17999999999995	97.15	336.91	668.27	664.0199999999999	940.47	864.5	532.63
Domain-containing proteins not elsewhere classified [BR:ko04990]	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	2.0	47.0	65.66	0.0	36.0	108.0
Drug metabolism - cytochrome P450 [PATH:ko00982]	348.76	31.63	77.05	91.5	350.63	12.5	345.4	135.5	66.6	137.94	142.0	66.71000000000001	296.35	940.85	940.88	1117.35	996.63	594.1700000000001
Drug metabolism - other enzymes [PATH:ko00983]	7692.39	4427.86	11036.769999999999	5154.700000000001	6200.660000000001	1840.35	16726.85	5133.24	8410.99	5270.11	11956.08	3566.9499999999994	8282.640000000001	10321.28	10509.770000000002	13298.080000000002	9888.6	11498.629999999997
ECM-receptor interaction [PATH:ko04512]	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	2.0	5.0	10.0	4.0	6.0	3.0	2.0
Endocytosis [PATH:ko04144]	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	2.0	47.0	65.66	0.0	36.0	108.0
Energy metabolism	4742.17	2697.51	6401.829999999998	3296.000000000001	3412.0499999999997	1234.95	10431.39	2232.24	5972.0	2589.3700000000003	7961.2	2051.01	5182.300000000003	4919.64	4435.83	7106.039999999999	4025.550000000002	5809.41
