ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	feces1	feces2	feces3	feces4	feces5	feces6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Endocrine and metabolic disease	-0.048	11.085	0.17965367965368	0.212317985045258	NotSig	0.205	0.212	0.204	0.217	0.213	0.202	0.206	0.19	0.216	0.209	0.215	0.208	0.211	0.214
Endocrine system	0.113	12.893	0.0151515151515152	0.0281385281385281	Enriched	0.726	0.671	0.753	0.76	0.718	0.689	0.748	0.684	0.671	0.702	0.687	0.657	0.637	0.672
Energy metabolism	0.069	15.277	0.0151515151515152	0.0281385281385281	Enriched	3.887	3.706	3.965	3.969	3.906	3.89	3.869	3.72	3.837	3.551	3.774	3.68	3.537	3.858
Environmental adaptation	0.125	11.317	0.0649350649350649	0.0964749536178107	NotSig	0.211	0.194	0.238	0.196	0.215	0.2	0.216	0.204	0.255	0.179	0.192	0.185	0.158	0.194
Excretory system	-0.464	8.467	0.17965367965368	0.212317985045258	NotSig	0.012	0.016	0.035	0.004	0.005	0.009	0.017	0.001	0.017	0.013	0.012	0.017	0.018	0.022
Folding	0.03	13.83	0.0649350649350649	0.0964749536178107	NotSig	1.426	1.397	1.456	1.446	1.425	1.422	1.388	1.422	1.443	1.396	1.363	1.386	1.383	1.411
Glycan biosynthesis and metabolism	-0.244	14.648	0.132034632034632	0.176046176046176	NotSig	1.991	2.358	2.567	1.838	1.857	1.938	2.249	1.498	2.17	2.473	2.464	2.453	2.181	2.405
Immune disease	-0.883	9.28	0.00216450216450216	0.00535971964543393	Depleted	0.03	0.056	0.026	0.021	0.04	0.022	0.033	0.04	0.052	0.057	0.062	0.057	0.053	0.054
Immune system	0.846	11.479	0.00216450216450216	0.00535971964543393	Enriched	0.27	0.15	0.279	0.258	0.286	0.271	0.242	0.284	0.221	0.124	0.144	0.135	0.112	0.166
Infectious disease: bacterial	-0.124	12.827	0.0649350649350649	0.0964749536178107	NotSig	0.622	0.678	0.628	0.57	0.665	0.61	0.586	0.672	0.727	0.653	0.662	0.66	0.685	0.679
Infectious disease: parasitic	-0.276	8.725	0.0930735930735931	0.134439634439634	NotSig	0.03	0.036	0.028	0.038	0.02	0.029	0.035	0.029	0.029	0.041	0.04	0.033	0.042	0.031
Infectious disease: viral	-0.352	9.394	0.00216450216450216	0.00535971964543393	Depleted	0.044	0.056	0.041	0.045	0.044	0.048	0.043	0.042	0.067	0.049	0.052	0.054	0.06	0.053
Lipid metabolism	0.008	14.125	0.818181818181818	0.834224598930481	NotSig	1.723	1.713	1.768	1.786	1.682	1.658	1.727	1.713	1.733	1.742	1.755	1.708	1.704	1.636
Membrane transport	-0.161	15.198	0.17965367965368	0.212317985045258	NotSig	2.902	3.244	2.202	2.942	2.795	3.006	2.96	3.504	2.783	3.306	3.125	3.32	3.758	3.173
Metabolism of cofactors and vitamins	-0.094	15.401	0.025974025974026	0.045021645021645	Depleted	3.89	4.151	4.099	3.837	3.988	3.84	3.75	3.827	4.327	4.068	4.083	4.223	3.95	4.254
Metabolism of other amino acids	-0.158	13.61	0.00216450216450216	0.00535971964543393	Depleted	1.112	1.24	1.153	1.089	1.086	1.102	1.179	1.062	1.226	1.229	1.243	1.247	1.249	1.25
Metabolism of terpenoids and polyketides	0.051	13.119	0.24025974025974	0.277633477633478	NotSig	0.863	0.833	0.884	0.863	0.884	0.881	0.839	0.827	0.89	0.814	0.837	0.794	0.784	0.881
Nervous system	0.819	11.276	0.00216450216450216	0.00535971964543393	Enriched	0.211	0.12	0.248	0.222	0.185	0.199	0.243	0.171	0.115	0.12	0.12	0.115	0.113	0.137
Neurodegenerative disease	-0.926	11.961	0.00216450216450216	0.00535971964543393	Depleted	0.187	0.355	0.209	0.2	0.199	0.178	0.161	0.176	0.339	0.371	0.399	0.368	0.332	0.325
Not included in regular maps	1.237	8.709	0.00216450216450216	0.00535971964543393	Enriched	0.035	0.015	0.026	0.036	0.032	0.042	0.034	0.039	0.026	0.013	0.016	0.011	0.011	0.012
Nucleotide metabolism	-0.142	14.831	0.00216450216450216	0.00535971964543393	Depleted	2.613	2.882	2.63	2.641	2.69	2.616	2.652	2.449	2.839	2.911	2.915	2.867	2.861	2.901
Poorly characterized	-0.023	14.531	0.393939393939394	0.418058132343847	NotSig	2.249	2.285	2.367	2.299	2.199	2.258	2.226	2.145	2.288	2.316	2.31	2.319	2.297	2.184
Protein families: genetic information processing	-0.032	17.52	0.30952380952381	0.349896480331263	NotSig	18.112	18.513	17.523	18.791	18.616	18.362	17.967	17.411	18.44	18.778	18.703	18.494	18.187	18.477
Protein families: metabolism	-0.074	16.017	0.00216450216450216	0.00535971964543393	Depleted	6.18	6.506	6.115	6.307	6.277	6.236	6.175	5.969	6.465	6.425	6.545	6.567	6.401	6.633
Protein families: signaling and cellular processes	0.063	17.065	0.132034632034632	0.176046176046176	NotSig	12.528	11.995	11.795	12.306	12.286	12.56	12.509	13.715	12.125	11.816	11.665	11.997	12.55	11.816
Replication and repair	-0.15	15.024	0.00216450216450216	0.00535971964543393	Depleted	2.966	3.291	2.875	3.016	3.044	3.006	2.964	2.891	3.26	3.314	3.286	3.3	3.255	3.332
Signal transduction	0.074	14.401	0.588744588744589	0.612294372294372	NotSig	1.859	1.766	1.937	1.68	1.849	1.792	1.733	2.164	1.821	1.833	1.743	1.737	1.856	1.604
Signaling molecules and interaction	-12.127	3.103	0.00277843011009903	0.00601993190521457	Depleted	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0	0
Transcription	-0.307	10.99	0.00216450216450216	0.00535971964543393	Depleted	0.155	0.192	0.149	0.155	0.161	0.159	0.157	0.149	0.185	0.194	0.189	0.189	0.203	0.19
Translation	-0.16	15.229	0.00216450216450216	0.00535971964543393	Depleted	3.386	3.783	3.23	3.466	3.53	3.496	3.343	3.25	3.84	3.804	3.794	3.738	3.719	3.801
Transport and catabolism	-0.258	11.984	0.393939393939394	0.418058132343847	NotSig	0.236	0.282	0.405	0.186	0.169	0.168	0.355	0.131	0.235	0.347	0.314	0.299	0.23	0.265
Unclassified: genetic information processing	-0.209	13.106	0.00865800865800866	0.0173160173160173	Depleted	0.714	0.825	0.581	0.737	0.703	0.785	0.706	0.769	0.769	0.794	0.798	0.861	0.882	0.847
Unclassified: metabolism	0.132	14.737	0.00216450216450216	0.00535971964543393	Enriched	2.48	2.263	2.73	2.393	2.311	2.473	2.538	2.437	2.268	2.279	2.255	2.298	2.209	2.271
Unclassified: signaling and cellular processes	0.632	14.142	0.00216450216450216	0.00535971964543393	Enriched	1.693	1.092	1.664	1.767	1.756	1.623	1.538	1.807	1.118	1.069	1.129	1.114	1.023	1.098
Xenobiotics biodegradation and metabolism	-0.305	13.115	0.00216450216450216	0.00535971964543393	Depleted	0.631	0.78	0.668	0.636	0.592	0.681	0.669	0.543	0.689	0.815	0.799	0.791	0.887	0.698
