Genus	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Lachnospiraceae UCG-008	0.22	0.17	0.62	0.36	0.32	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Lentimicrobium	0	0	0	0	0	0	1.14	0.25	0.01	0	0.39	0.07	0.11	0	0.24	0.1	0.05	2.38	0.5
Butyribacter	1.56	0.11	0.07	0.76	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Erysipelotrichaceae UCG-003	2.14	0.02	0	9.1	1.66	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Lachnospiraceae UCG-004	0.22	0.11	0.84	0.31	0.16	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Anaerostipes	1.43	0	0.01	0.24	0.03	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Rothia	0.04	0	0	0	0	0.02	0.31	0.01	0.01	0.18	0.72	0.38	1.39	0.8	2.53	1.13	1.63	1.32	0.5
Aggregatibacter	0	0	0	0	0	0	0.18	0	2.2	0.01	0	0.31	1.78	0.75	0	1.03	0.5	0.19	0.5
Collinsella	0	0.63	0.02	1.92	0.55	0.66	0	0	0	0	0	0	0	0	0	0	0	0	0.5
F0058	0	0	0	0	0	0	1.05	0.59	0.09	0.04	0.08	0.11	0.39	0.17	0.94	0.88	0.1	1.33	0.5
Parabacteroides	0.17	1.09	0.05	0	0.13	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.5
[Eubacterium] sulci group	0	0.01	0	0	0.02	0	0.2	1.46	0.08	0.1	0	0.46	0.04	0.04	0.05	0.43	0.36	0.67	0.5
Clostridium	0.04	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Flexilinea	0	0	0	0	0	0	1.46	1.58	0.34	4.31	1.67	1.41	0.03	0.19	0.14	0.13	0	0.09	0.4
Family XIII UCG-001	0.08	0.02	0.01	0	0.03	0.39	0.44	0.45	0.04	0.47	0.44	0.14	0.05	0.08	0.09	0.08	0	0.1	0.4
Unassigned	1.02	0.36	0.58	0.36	3.07	1.17	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Granulicatella	0	0	0.02	0.07	0	0.04	0.52	0.01	0.17	0.13	0.04	0.07	2.34	1.23	2.3	0.86	4.58	0.47	0.4
Lancefieldella	0	0	0	0.02	0.01	0	0.1	0.06	0.01	0.44	0.02	0.06	0.38	0.16	0.89	0.51	0.41	0.22	0.4
Enterocloster	0.19	0.09	0.06	1	0.05	1	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Bifidobacterium	3.96	5.27	0.57	0.83	12.7	2.96	0	0	0.01	0	0	0	0.15	0	0	0	0	0.02	0.4
Haemophilus	0	0	0.01	0	0	0	0.26	0.02	0.02	0.03	0.01	0	3.26	0.62	2.18	0.75	2.76	1.19	0.3
TM7x	0	0.01	0	0	0.03	0.04	0.41	0.06	0.01	0.18	0	0.15	0.18	0.41	0.19	1.56	0.3	0.13	0.3
Holdemanella	0	2.34	2.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Bilophila	0.06	0.06	0.05	0.01	1.17	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Negativibacillus	0.26	0.2	0.57	0.15	0.02	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Mitsuokella	0	1.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Rikenellaceae RC9 gut group	0	0	0	0	0	0	0.32	0.34	0.01	0.15	0.09	0.2	0.13	0.1	0.12	0.13	0	0.96	0.3
Prevotellaceae NK3B31 group	0	0	0	0	0.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Anaerobutyricum	1.76	0.42	0.03	0.74	0.09	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Acutalibacter	0.19	0.13	0.15	0.03	0.67	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Faecalimonas	0.07	0.02	0.02	0.04	0.03	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Desulfovibrio	0.23	0.81	0.56	0	0	0	0.28	0.01	0	0	0	0	0	0	0	0	0	0	0.3
[Eubacterium] ventriosum group	0.3	0.04	0.01	1.45	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
W5053	0	0	0	0	0	0	0.76	0	0	0	3.88	0	0	0	0.14	0	0	0.39	0.3
[Ruminococcus] gauvreauii group	1.12	0.1	0.04	0	0.04	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Bergeyella	0	0	0	0	0	0	0.06	0	0.02	0.01	0	0.06	0.28	0.19	0.08	0.15	1.22	0.23	0.3
Dorea	2.26	1.8	1.59	2.88	1.72	10.5	0	0	0	0	0	0	0	0	0	0	0	0	0.3
[Eubacterium] saphenum group	0	0	0	0	0	0	1.25	0.57	0	7.14	5.56	0.44	0	3.94	0.98	0.42	0	0.87	0.3
[Eubacterium] siraeum group	0.29	0.03	0.08	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Moryella	0	0	0	0	0	0	0.61	0.6	0	3.15	0.82	0.79	0	0.65	0.08	0.12	0	0.21	0.3
NK4A214 group	0	1.17	0.34	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Desulfobulbus	0	0	0	0	0	0	1.17	1.94	0.65	4.16	4.67	0.64	0.09	0.26	0.23	0.1	0	0.18	0.3
Dialister	2.09	0	3.29	0	14.5	0	0.48	1.69	0.8	2.68	0.38	0.86	0.69	2.34	0.93	1.92	0.1	1.27	0.3
Monoglobus	0.12	0.12	3.31	1.33	0.11	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Olsenella	0.08	0	0	0	0	0	0.31	0.18	0	3.1	0	0.02	0.06	0.04	0	0	0	0.03	0.3
Anaeroglobus	0	0	0	0	0	0	0.09	0.77	0.03	0.44	0.02	0.28	0.08	0.23	0.27	0.24	0.04	0.14	0.3
Cardiobacterium	0	0	0	0	0	0	0.12	0.03	0.02	0.02	0	0.31	0.32	1.13	0.07	1.34	0.06	0.38	0.3
Akkermansia	0.47	0	0.01	0.01	0	20.7	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Agathobaculum	0.2	0.19	0.14	0.17	0.05	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Filifactor	0	0	0	0	0	0	4.78	5.63	4.64	0.01	9.75	8.61	3.42	0	3.05	2.83	0	5.34	0.3
Hornefia	0	0	0	0	0	0	0.52	0.09	0.06	0.16	1.04	0.22	0.9	0.03	0.55	0.23	0	0.46	0.3
Thomasclavelia	0	0.01	0	0.73	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Pseudoleptotrichia	0	0	0	0	0	0	0.43	0.02	0.23	0.42	0.01	1.08	0.21	0.68	0.55	1.69	0.8	0.14	0.3
Xylanibacter	0	0	0	0	0	0	0.1	0.53	0	0	0.08	0	0.57	0	0.68	0	0	0.04	0.3
Acholeplasma	0	0	0	0	0	0	0.41	0.37	0	0	0	0	0	0	0	0	0.04	0.35	0.2
Mycoplasma	0	0	0	0	0	0	0	0.06	0	0.1	1.15	0.36	0.09	0.52	0.52	0.12	0.01	0.04	0.2
UCG-003	0.35	0.1	0.67	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
[Eubacterium] xylanophilum group	0.07	0.04	0.02	0.67	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
[Eubacterium] brachy group	0	0	0	0	0	0	0.06	0.47	2.62	0	4.22	1.13	0.97	0	0.52	0.59	0.01	0.06	0.2
[Eubacterium] eligens group	0.96	0.29	0.64	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Barnesiella	0.15	0.13	0	0	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Adlercreutzia	0	0.07	0.02	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Odoribacter	0.01	0.03	0.01	0	0.03	0	1.83	0	0	0	0	0	0	0	0	0	0	0.32	0.2
Lachnospiraceae FCS020 group	0.1	0.04	0.05	0.23	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Lachnospira	0.09	0.04	0.15	0.39	0.07	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Holdemania	0.01	0.07	0.01	0.05	0.02	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Lachnospiraceae ND3007 group	0.49	0	0.16	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Defluviitaleaceae UCG-011	0	0	0	0	0	0	0.35	0.55	0	0	0.48	0.21	0.21	0	0.63	0.17	0	0.7	0.2
Kingella	0	0	0	0	0	0	0	0	0.04	0	0	0.05	0.79	0.2	0.48	0.47	0.05	0.13	0.2
Slackia	0	0.16	0.02	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Solobacterium	0	0.02	0	0.01	0.01	0.01	0.17	0.08	0.48	0.1	0	0.1	0.32	0.4	0.59	0.67	0.97	0.23	0.1
Senegalimassilia	0	0.02	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Agathobacter	0	1.2	0.04	6.58	3.25	4.46	0	0	0	0	0	0	0.01	0	0	0	0	0	0.1
Howardella	0	0.31	0.79	0.63	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ruthenibacterium	0.03	0.06	0.04	0.02	0.21	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Succinivibrio	0	6.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
[Eubacterium] ruminantium group	0	4.12	0.48	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Erysipelotrichaceae UCG-006	0	0	0	0	0	0	0	0.1	0	0.2	0.01	0.02	0	0.05	0	0.04	0	0.04	0.1
Eikenella	0	0	0	0	0	0	0.05	0	0.02	0.12	0.07	0.23	0.15	0.38	0.14	0.47	0.1	0.18	0.1
[Ruminococcus] gnavus group	0	0	0	0.01	0	6.85	0	0	0	0	0	0	0	0	0	0	0	0	0.1
[Eubacterium] yurii group	0	0	0	0	0	0	0.01	0.02	0.28	0.08	0	0.39	0.12	0.07	0	0.22	0.05	0.24	0.1
Escherichia-Shigella	0.13	0.04	0.87	0	2.33	3.52	0	0.01	0	0	0	0	0	0	0	0	0	0	0.1
Tyzzerella	0	0	0	2.27	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Actinomyces	0	0.01	0	0.02	0.01	0	0.37	0.11	0.12	0.33	0.07	0.12	0.05	0.17	0.41	0.2	0.1	0.07	0.1
Fusicatenibacter	3.87	0.1	0.01	0.12	0.13	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Corynebacterium	0	0	0	0	0	0	1.13	0.01	0	0.54	0.02	0.47	0.03	0.16	0.2	0.27	0.11	0.09	0.1
Coriobacteriaceae UCG-002	0	0.01	0	0	0	0	0	0.03	0.02	0.02	0	0.04	0.23	0	0.08	0.14	0.01	0.28	0.1
Peptostreptococcus	0	0	0	0	0	0	1.08	0.89	1.45	2.77	0.02	0.22	1.16	1.82	0.34	1.45	0.1	1.64	0.1
CAG-56	0.3	0.17	0.1	4.25	0.01	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Phocaeicola	0	0	0	0	0	0	0.32	0.51	0	0.3	0.04	0.07	0.03	0.31	0.25	0.12	0	0.3	0.1
Bulleidia	0	0	0	0	0	0	0.06	0.03	0	0	0.28	0.12	0	0	0.04	0.24	0	0.02	0.1
Lactococcus	0.03	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Peptoanaerobacter	0	0	0	0	0	0	0.02	0.06	0.02	0	0.07	0	0.23	0	0.06	0	0	0.21	0.1
Anaerotruncus	0	0.01	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Megasphaera	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Methanobrevibacter	0.08	0.35	0.02	0.01	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.1
Mogibacterium	0	0	0	0	0	0	0.01	0.03	0	0.22	0.4	0.03	0.07	0.24	0.05	0.19	0	0.03	0.1
Candidatus Saccharimonas	0	0	0	0	0.01	0.01	0.41	0.02	0.1	0	0	0.07	0.23	0.02	0.08	0.23	0.03	0.02	0.1
Oscillibacter	0.04	0.02	0.03	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Abiotrophia	0	0	0	0	0	0.03	0	0	0.01	0.01	0	0	0.14	0	0	0.05	0.7	0.01	0.1
Frisingicoccus	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Faecalicatena	0.04	0.03	0.01	0	0.03	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lachnospiraceae UCG-010	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Eggerthella	0.01	0	0	0	0.02	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Massiliprevotella	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Eisenbergiella	0.01	0.01	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lautropia	0	0	0	0	0	0	0.01	0	0.1	0	0	0.02	0.3	0.09	0	0.33	0.11	0.3	0.1
DTU089	0.02	0.04	0	0	0.06	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Enterobacter	0	0	0.45	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudoramibacter	0	0	0	0	0	0	0.1	0.08	0	0.22	0	0.05	0.05	0.02	0	0.01	0	0	0.1
Centipeda	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0.1
Stomatobaculum	0	0	0	0	0	0	0.09	0	0.07	0	0	0	0.26	0.04	0.18	0.1	0.4	0.02	0.1
Prevotellaceae UCG-004	0	0	0	0	0	0	0	0.04	0	0.04	0	0	0	0.03	0.01	0	0	0.11	0.1
Romboutsia	0.01	0.02	0	0.42	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pyramidobacter	0	0	0	0	0	0	0	0.34	0.04	0	0	0	0.05	0	0.03	0	0	0.02	0.1
Intestinibacter	0.02	0.01	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Candidatus Soleaferrea	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Turicibacter	0.09	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Butyrivibrio	0	0	0	0	0	0	0.07	0.05	0.01	0	0.1	0	0.21	0	0.34	0	0.02	0.05	0.1
Paraprevotella	0	0.17	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Parasutterella	0.01	0.01	0.2	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Gordonibacter	0.03	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Streptobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.39	0.02	0.1
GCA-900066575	0.01	0.02	0.1	0.01	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Christensenella	0	0.01	0	0	0.04	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.1
