OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Pathways
Clavulanic acid biosynthesis	526.0	709.0	859.0	603.0	472.0	605.0	422.0	739.0	903.0	584.0	626.0	550.0	557.0	567.0	646.0	904.0	574.0	566.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Clavulanic acid biosynthesis
Colorectal cancer	6284.0	6295.0	8901.0	7430.0	8892.0	8179.0	6270.0	5705.0	4707.0	5208.0	6690.0	5946.0	4993.0	5762.0	5985.0	6422.0	6309.0	6393.0	Human Diseases; Cancers; Colorectal cancer
Complement and coagulation cascades	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Immune System; Complement and coagulation cascades
Cyanoamino acid metabolism	122812.0	127379.0	139951.0	134411.0	146484.0	136090.0	116222.0	112750.0	120015.0	116021.0	124237.0	115708.0	134322.0	146415.0	133001.0	135055.0	147148.0	132276.0	Metabolism; Metabolism of Other Amino Acids; Cyanoamino acid metabolism
Cysteine and methionine metabolism	353337.0	349380.0	397217.0	383154.0	424609.0	392454.0	344320.0	329243.0	349372.0	336097.0	362304.0	343320.0	382912.0	425359.0	390125.0	389312.0	408228.0	384217.0	Metabolism; Amino Acid Metabolism; Cysteine and methionine metabolism
Cytochrome P450	533.0	696.0	609.0	464.0	292.0	463.0	493.0	583.0	1007.0	602.0	568.0	539.0	730.0	524.0	641.0	732.0	806.0	622.0	Metabolism; Enzyme Families; Cytochrome P450
Cytokine receptors	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Environmental Information Processing; Signaling Molecules and Interaction; Cytokine receptors
Cytokine-cytokine receptor interaction	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Environmental Information Processing; Signaling Molecules and Interaction; Cytokine-cytokine receptor interaction
Cytoskeleton proteins	114588.0	102105.0	126576.0	122050.0	148222.0	124956.0	103897.0	98448.0	108521.0	105770.0	113845.0	104647.0	122218.0	144034.0	121746.0	122608.0	132538.0	118334.0	Cellular Processes; Cell Motility; Cytoskeleton proteins
Cytosolic DNA-sensing pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Immune System; Cytosolic DNA-sensing pathway
D-Alanine metabolism	42415.0	43563.0	48272.0	45992.0	50807.0	47091.0	41019.0	39734.0	41332.0	40005.0	43163.0	40450.0	45147.0	50227.0	46465.0	46216.0	48509.0	45781.0	Metabolism; Metabolism of Other Amino Acids; D-Alanine metabolism
D-Arginine and D-ornithine metabolism	9433.0	8062.0	10324.0	9798.0	11916.0	10105.0	7751.0	6881.0	7916.0	8101.0	8426.0	7431.0	8756.0	10555.0	9126.0	9573.0	9390.0	9270.0	Metabolism; Metabolism of Other Amino Acids; D-Arginine and D-ornithine metabolism
D-Glutamine and D-glutamate metabolism	52831.0	49438.0	58013.0	56670.0	65885.0	57375.0	49970.0	47255.0	51127.0	50211.0	52682.0	49440.0	57539.0	65788.0	57052.0	56927.0	61331.0	55714.0	Metabolism; Metabolism of Other Amino Acids; D-Glutamine and D-glutamate metabolism
DNA repair and recombination proteins	1066553.0	1052791.0	1196180.0	1148964.0	1288334.0	1166404.0	1026491.0	996426.0	1057366.0	1016916.0	1092678.0	1025744.0	1169485.0	1309630.0	1184031.0	1177877.0	1252256.0	1159216.0	Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins
DNA replication	222672.0	211720.0	249078.0	237743.0	275949.0	239246.0	209037.0	204487.0	219651.0	212715.0	224746.0	208049.0	242373.0	277695.0	244214.0	243765.0	259256.0	240914.0	Genetic Information Processing; Replication and Repair; DNA replication
DNA replication proteins	368900.0	347952.0	410594.0	393217.0	457301.0	399557.0	350076.0	338078.0	363913.0	351828.0	374357.0	348964.0	400543.0	460118.0	405806.0	404855.0	429740.0	398635.0	Genetic Information Processing; Replication and Repair; DNA replication proteins
Dilated cardiomyopathy (DCM)	109.0	102.0	51.0	69.0	64.0	80.0	166.0	103.0	112.0	95.0	125.0	135.0	122.0	91.0	133.0	89.0	95.0	122.0	Human Diseases; Cardiovascular Diseases; Dilated cardiomyopathy (DCM)
Dioxin degradation	65132.0	57346.0	69683.0	68458.0	85470.0	66183.0	51208.0	50114.0	56836.0	58003.0	59700.0	50787.0	68816.0	82575.0	65336.0	68077.0	75320.0	63778.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Dioxin degradation
Drug metabolism - cytochrome P450	136912.0	126778.0	153942.0	149540.0	174058.0	156019.0	123379.0	111811.0	120482.0	121919.0	133651.0	122106.0	137366.0	155935.0	138812.0	141645.0	150633.0	138662.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - cytochrome P450
Drug metabolism - other enzymes	81658.0	95097.0	100984.0	93886.0	94795.0	94062.0	84398.0	88661.0	86983.0	81403.0	89558.0	85168.0	93354.0	96274.0	95971.0	95434.0	100156.0	95586.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - other enzymes
ECM-receptor interaction	35.0	53.0	59.0	6.0	9.0	26.0	27.0	30.0	61.0	26.0	14.0	36.0	22.0	13.0	29.0	28.0	33.0	37.0	Environmental Information Processing; Signaling Molecules and Interaction; ECM-receptor interaction
Electron transfer carriers	12330.0	13383.0	15287.0	13894.0	15281.0	13534.0	11925.0	12190.0	11971.0	11592.0	13221.0	12324.0	13568.0	14535.0	14002.0	14294.0	14488.0	13362.0	Unclassified; Cellular Processes and Signaling; Electron transfer carriers
Endocrine and other factor-regulated calcium reabsorption	9.0	10.0	9.0	7.0	13.0	16.0	7.0	8.0	10.0	6.0	12.0	8.0	7.0	8.0	10.0	10.0	13.0	9.0	Organismal Systems; Excretory System; Endocrine and other factor-regulated calcium reabsorption
Endocytosis	69.0	104.0	91.0	66.0	40.0	66.0	66.0	73.0	58.0	58.0	44.0	75.0	75.0	43.0	141.0	69.0	62.0	63.0	Cellular Processes; Transport and Catabolism; Endocytosis
Energy metabolism	462689.0	441937.0	517120.0	498237.0	576609.0	508946.0	418090.0	397402.0	428464.0	424035.0	450529.0	414861.0	480204.0	541162.0	485345.0	489850.0	517638.0	483483.0	Unclassified; Metabolism; Energy metabolism
Epithelial cell signaling in Helicobacter pylori infection	19463.0	16599.0	21188.0	20643.0	25527.0	21202.0	17441.0	16731.0	19142.0	18523.0	19073.0	17844.0	20922.0	24455.0	20386.0	20806.0	22813.0	20100.0	Human Diseases; Infectious Diseases; Epithelial cell signaling in Helicobacter pylori infection
ErbB signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Environmental Information Processing; Signal Transduction; ErbB signaling pathway
Ether lipid metabolism	11156.0	12841.0	12197.0	12505.0	11923.0	13979.0	9910.0	9563.0	10602.0	10257.0	10564.0	10030.0	11840.0	11883.0	11802.0	12495.0	13385.0	11362.0	Metabolism; Lipid Metabolism; Ether lipid metabolism
Ethylbenzene degradation	53187.0	52666.0	62849.0	59760.0	69447.0	58616.0	47174.0	48226.0	50503.0	49890.0	52143.0	47549.0	56828.0	63740.0	56096.0	57282.0	61790.0	56517.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Ethylbenzene degradation
Fat digestion and absorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Digestive System; Fat digestion and absorption
Fatty acid biosynthesis	249314.0	260120.0	288876.0	273345.0	295123.0	281572.0	248143.0	243238.0	252407.0	241245.0	258500.0	247946.0	272746.0	293868.0	277923.0	279337.0	295119.0	275366.0	Metabolism; Lipid Metabolism; Fatty acid biosynthesis
Fatty acid elongation in mitochondria	604.0	582.0	459.0	460.0	364.0	743.0	629.0	467.0	490.0	563.0	535.0	552.0	519.0	477.0	605.0	509.0	485.0	554.0	Metabolism; Lipid Metabolism; Fatty acid elongation in mitochondria
Fatty acid metabolism	480432.0	519958.0	572874.0	539995.0	577385.0	537637.0	446251.0	447415.0	454276.0	444834.0	484007.0	447162.0	515766.0	546129.0	519830.0	530406.0	563334.0	519415.0	Metabolism; Lipid Metabolism; Fatty acid metabolism
