genus	family	order	class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
1-14-0-20-42-23	2-02-FULL-44-16	2-02-FULL-44-16	UBA10199	UBA10199	Bacteria						0.0042643923240938				0.0039999988424947		
1-14-0-20-45-16	UBA2394	UBA2394	UBA2394	Bdellovibrionota	Bacteria			0.0080213903743315			0.0063965884861407					0.0039370078740157	
1-14-0-20-46-22	UBA12402	UBA12402	Gammaproteobacteria	Pseudomonadota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
1-14-0-65-60-17	UBA10348	Rhodothermales	Rhodothermia	Bacteroidota_A	Bacteria	0.0131578947368421	0.0501392757660167	0.11009434023752361	0.010221465087619	0.034090909090909	0.0170575693055834			0.0392156862745098	0.012	0.0039370078740157	
1-14-2-50-48-13	1-14-2-50-48-13	1-14-2-50-48-13	Gracilibacteria	Patescibacteriota	Bacteria									0.0196078431372549			
1-19	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Bacteria								0.0083336620435535		0.008	0.0039370078740157	
1162T-S-0a-05	Cellvibrionaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
12-FULL-43-12b	Zambryskibacteraceae	UBA9973	Minisyncoccia	Patescibacteriota	Bacteria		0.0027855153203342										
12-FULL-67-14b	UBA2999	Vicinamibacterales	Vicinamibacteria	Acidobacteriota	Bacteria		0.035918069882704295	0.008314949717805	0.0068143100511073		0.0139992413895498	0.0454600816522525	0.0833333333333382	0.058823529411764705	0.0282101130743937	0.011811023622047102	0.0094339622641509
12844	UBA1381	UBA1381	Clostridia	Bacillota	Bacteria	0.0647879388001692	0.0414702440505767	0.0401069518716577	0.6998596431398676		0.1075611589171511	0.1818237180158888	0.0916666666666715	0.0974723173358534	0.0200036665904223	0.0078740157480314	0.023270719474077
13-1-40CM-64-14	Kaftiobacteriaceae	Sysuimicrobiales	Sysuimicrobiia	Sysuimicrobiota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
13-1-40CM-70-15	GWC2-71-9	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadota	Bacteria									0.0196078431372549			
13-2-20CM-66-19	Steroidobacteraceae	Steroidobacterales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.019831863758139598	0.036508749597475	0.1256684491978609	0.017035775127768202	0.0454545454545454	0.035071368880319795	0.0454600816522525	0.0750000000000049	0.0784313725490196	0.07200366799954411	0.10629938911247609	0.0578484080809333
13-2-20CM-68-14	Gaiellaceae	Gaiellales	Thermoleophilia	Actinomycetota	Bacteria		0.0028390298344205	0.0160427807486631						0.0196078431372549	0.0040000001258077	0.0354330708661417	
14-2	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	Bacteria	0.0131578947368421	0.052978305600437196	0.1261371209861867	0.010221465087619	0.034090909090909	0.0170575693055834	0.0227272727272727		0.0784313725490196	0.0160000001258077	0.039370078740157397	
16-39-46	16-39-46	16-39-46	Alphaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
1XD8-76	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	Bacteria	0.013347938042595	0.1841764209614988	0.0564432919637939	0.0902896081771718	0.1022727272727272	0.251830324935439	0.18184032660901	0.3000000000000196	0.39215686274509803	0.12821744619963352	0.11811058924857411	0.0779546383798478
2-01-FULL-39-10-A	UBA12049	Levybacterales	Microgenomatia	Patescibacteriota	Bacteria		0.0083565459610027		0.0119250425804854		0.0184184240288471						
2-01-FULL-39-21	UBA8517	GWA2-44-7	Microgenomatia	Patescibacteriota	Bacteria	0.0131578947368421	0.0501392757660167	0.1042780748663101	0.0085178875728364	0.034090909090909	0.0170575693055834				0.012		
2-01-FULL-39-33	2-01-FULL-39-33	2-01-FULL-39-33	Patescibacteriia	Patescibacteriota	Bacteria								0.0083333333333333				
2-01-FULL-40-13	GWC2-37-13	UBA1406	Microgenomatia	Patescibacteriota	Bacteria	0.019831863758139598	0.0027855153203342		0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-01-FULL-40-42	GWC2-37-13	UBA1406	Microgenomatia	Patescibacteriota	Bacteria									0.0392156862745098			
2-01-FULL-41-18-A	GWA2-41-24	Curtissbacterales	Microgenomatia	Patescibacteriota	Bacteria									0.0196078431372549			
2-01-FULL-41-21	GWA2-44-9	2-02-FULL-40-12	Minisyncoccia	Patescibacteriota	Bacteria						0.0556038543883771					0.0118110236220472	0.0094339622641509
2-01-FULL-41-22	GWC2-37-13	UBA1406	Microgenomatia	Patescibacteriota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
2-01-FULL-41-26	GWA2-44-9	2-02-FULL-40-12	Minisyncoccia	Patescibacteriota	Bacteria									0.0196078431372549			
2-01-FULL-42-15	UBA12049	Levybacterales	Microgenomatia	Patescibacteriota	Bacteria											0.0039370078740157	
2-01-FULL-43-14	2-01-FULL-43-14	Woykebacterales	Microgenomatia	Patescibacteriota	Bacteria										0.0039999999999988		
2-01-FULL-43-38	UBA10151	Daviesbacterales	Microgenomatia	Patescibacteriota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
2-01-FULL-45-33	2-01-FULL-45-33	UBA11713	Minisyncoccia	Patescibacteriota	Bacteria	0.0066739690212975		0.0080213903743315	0.0034071550255536		0.0513240529753745				0.0119963332281676	0.0157482080101141	0.0201093946616221
2-01-FULL-46-13	UBA11713	JACPKW01	Minisyncoccia	Patescibacteriota	Bacteria		0.024638681586456	0.0216839336750243			0.0087443803801607			0.0392156862745098	0.012206446609779101	0.039370078740157397	0.0188679245283018
2-01-FULL-47-10	2-01-FULL-47-10	2-01-FULL-47-10	Minisyncoccia	Patescibacteriota	Bacteria										0.0080000000000001		
2-01-FULL-49-10	UBA10110	Kazan-3B-28	Kazan-3B-28	Patescibacteriota	Bacteria									0.0196078431372549			
2-01-FULL-49-14	Chisholmbacteraceae	UBA1400	Microgenomatia	Patescibacteriota	Bacteria									0.0196078431372549			
2-01-FULL-49-22	UBA10212	Saccharimonadales	Saccharimonadia	Patescibacteriota	Bacteria		0.0028390298344205	0.0160427807486631						0.0392156862745098	0.012000001283314	0.0354330708661417	0.0188710888910094
2-01-FULL-66-17	2-01-FULL-66-17	2-01-FULL-66-17	Nitrospiria	Nitrospirota	Bacteria				0.0034071550255536								
2-02-FULL-35-15	2-02-FULL-35-15	2-02-FULL-35-15	Vampirovibrionia	Cyanobacteriota	Bacteria									0.0196078431372549	0.0039999999999988	0.0039370078740157	
2-02-FULL-38-14	UBA10185	UBA101185	WWE3	Patescibacteriota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-02-FULL-38-14-A	GWA2-38-11	GWA2-38-11	GWA2-38-11	Schekmanbacteria	Bacteria										0.0039999999999988		
2-02-FULL-39-32	2-02-FULL-39-32	2-02-FULL-39-32	Elusimicrobia	Elusimicrobiota	Bacteria									0.0392156862745098			
2-02-FULL-40-10	2-02-FULL-39-11	2-02-FULL-39-11	Microgenomatia	Patescibacteriota	Bacteria										0.004		
2-02-FULL-40-20	WO2-44-18	UBA6257	Minisyncoccia	Patescibacteriota	Bacteria									0.0196078431372549			
2-02-FULL-42-43	Coxiellaceae	Coxiellales	Gammaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
2-02-FULL-43-11	2-02-FULL-43-11	UBA9973	Minisyncoccia	Patescibacteriota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-02-FULL-45-11	Colwellbacteraceae	UBA6257	Minisyncoccia	Patescibacteriota	Bacteria										0.0039999999999998		
2-02-FULL-45-18	UBA10092	UBA10092	Minisyncoccia	Patescibacteriota	Bacteria									0.0196078431372549			
2-02-FULL-45-21	UBA12090	Gygaellales	Koll11	Omnitrophota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-02-FULL-47-50	Eutrophobiaceae	Eutrophobiales	Gammaproteobacteria	Pseudomonadota	Bacteria		0.0055710306406685						0.0083336620435535		0.008	0.0039370078740157	
2-02-FULL-48-11	GWA2-47-8	Zapsychrales	Koll11	Omnitrophota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-02-FULL-48-14	2-02-FULL-48-14	UBA1369	Gracilibacteria	Patescibacteriota	Bacteria										0.0080000000000001		
2-02-FULL-48-16	2-02-FULL-48-16	UBA9973	Minisyncoccia	Patescibacteriota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0833336620435584		0.0280036665904223	0.0157480314960628	
2-02-FULL-49-16	Peribacteraceae	Peribacterales	Gracilibacteria	Patescibacteriota	Bacteria									0.0196078431372549			
2-02-FULL-50-9b	2-02-FULL-50-9b	Magasanikbacterales	Patescibacteriia	Patescibacteriota	Bacteria										0.0039999999999988		
2-02-FULL-51-10	Peribacteraceae	Peribacterales	Gracilibacteria	Patescibacteriota	Bacteria									0.0196078431372549			
2-02-FULL-52-16	Peribacteraceae	Peribacterales	Gracilibacteria	Patescibacteriota	Bacteria	0.0131578947368421	0.0027855153203342										
2-02-FULL-55-14	UBA10030	UBA10030	UBA10030	Bacteroidota_A	Bacteria									0.0196078431372549	0.0160000011575064	0.0039370078740157	0.0188710888910094
2-02-FULL-56-15	Eutrophobiaceae	Eutrophobiales	Gammaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
2-02-FULL-62-14	Nitrospiraceae	Nitrospirales	Nitrospiria	Nitrospirota	Bacteria									0.0196078431372549		0.0039370078740157	
2-02-FULL-62-17	SG8-39	Burkholderiales	Gammaproteobacteria	Pseudomonadota	Bacteria			0.0058162653712135	0.0017035775147826					0.058823529411764705			
2-02-FULL-63-19	SG8-39	Burkholderiales	Gammaproteobacteria	Pseudomonadota	Bacteria											0.0118110236220472	0.0094339622641509
2-02-FULL-66-22	2-02-FULL-66-22	Methylomirabilales	Methylomirabilia	Methylomirabilota	Bacteria								0.0083333333333333				
2-02-FULL-67-57	2-02-FULL-67-57	Acidiferrales	Terriglobia	Acidobacteriota	Bacteria		0.0217996517520355	0.0056411529263612			0.0087443803801607			0.0392156862745098	0.0082064464839714	0.0039370078740157	0.0094339622641509
2-12-FULL-35-11	Legionellaceae	Legionellales	Gammaproteobacteria	Pseudomonadota	Bacteria								0.0083333333333333				
2-12-FULL-35-15	2-12-FULL-35-15	2-12-FULL-35-15	Bacteroidia	Bacteroidota	Bacteria	0.013347938042595	0.0027855153203342		0.0034071550255536		0.0170575692963752			0.0392156862745098	0.016000000000001	0.0196853923981812	0.0685238404784045
2-12-FULL-37-11	UBA10151	Daviesbacterales	Microgenomatia	Patescibacteriota	Bacteria		0.043599303504071	0.0112823058527224			0.0174887607603214			0.0784313725490196	0.0164128929679428	0.0078740157480314	0.0188679245283018
2-12-FULL-37-12	2-12-FULL-37-12	2-12-FULL-37-12	Bacteroidia	Bacteroidota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-12-FULL-39-13	Brocadiaceae	Brocadiales	Brocadiia	Planctomycetota	Bacteria	0.0131578947368421	0.0027855153203342							0.0196078431372549	0.0080000011575063		0.0188710888910094
2-12-FULL-40-10	2-12-FULL-40-10	Moranbacterales	Minisyncoccia	Patescibacteriota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-12-FULL-40-28	2-12-FULL-40-28	UBA10199	UBA10199	UBA10199	Bacteria												0.0094339622641509
2-12-FULL-41-13	2-12-FULL-41-13	2-12-FULL-41-13	Minisyncoccia	Patescibacteriota	Bacteria				0.0017035775127768		0.0385308760030931				0.0119963332281676	0.0078740157480314	
2-12-FULL-41-16	UBA922	Magasanikbacterales	Patescibacteriia	Patescibacteriota	Bacteria									0.0196078431372549			
2-12-FULL-43-12	UBA922	Magasanikbacterales	Patescibacteriia	Patescibacteriota	Bacteria		0.0055702105166283	0.0909090909090909	0.0017035775127768	0.0454545454545454	0.0127589385745555				0.024	0.0078740157480314	
2-12-FULL-45-10	XYC2-FULL-47-12	Patescibacteriales	Patescibacteriia	Patescibacteriota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049		0.0200036665904223	0.0078740157480314	
2-12-FULL-49-11	2-12-FULL-49-11	Chlamydiales	Chlamydiia	Chlamydiota	Bacteria									0.0196078431372549			
2-12-FULL-53-21	UBA2774	UBA2774	UBA1144	Desulfobacterota_D	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-12-FULL-55-11	Peribacteraceae	Peribacterales	Gracilibacteria	Patescibacteriota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
2-12-FULL-57-11	2-12-FULL-57-11	2-12-FULL-57-11	Patescibacteriia	Patescibacteriota	Bacteria	0.0131578947368421	0.0027855153203342										
2-12-FULL-60-19	UBA9968	UBA9968	Binatia	Desulfobacterota_B	Bacteria									0.0196078431372549			
2-12-FULL-60-25	2-12-FULL-60-25	2-12-FULL-60-25	Patescibacteriia	Patescibacteriota	Bacteria							0.0227272727272727				0.0039370078740157	
2-12-FULL-62-27	2-12-FULL-62-27	2-12-FULL-62-27	2-12-FULL-62-27	Lindowbacteria	Bacteria										0.004		
2-12-FULL-69-37	UBA8248	UBA8248	UBA8248	UBA8248	Bacteria									0.0196078431372549			
20-14-all-45-10	AB-539-J10	GIF9	Dehalococcoidia	Chloroflexota	Bacteria		0.1521748397780729	0.0690620786309111	0.0152773429631495	0.0233277657765767	0.0031015759912224	0.0454554033079786	0.0828102631538011		0.004		0.0364901304845323
2011-GWC2-44-17	2011-GWC2-44-17	Saccharimonadales	Saccharimonadia	Patescibacteriota	Bacteria		0.035918069882704295	0.008314949717805	0.0102214650766609		0.016131437955034	0.0454600816522525	0.0833336620435584	0.0784313725490196	0.040210113074393705	0.0196850393700785	0.0094339622641509
2013-40CM-41-45	2013-40CM-41-45	AKYH767-A	Bacteroidia	Bacteroidota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049		0.0200036665904223	0.0078740157480314	
20CM-2-55-15	20CM-2-55-15	20CM-2-55-15	Terriglobia	Acidobacteriota	Bacteria				0.0034071550255536			0.0227272727272727				0.0118110236220472	0.0094339622641509
20CM-2-65-7	GWC2-71-9	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadota	Bacteria				0.0034071550255536		0.0021321965654842			0.0392156862745098	0.0120000000000001	0.0039370078740157	
20CM-2-70-11	CSP1-6	Rokubacteriales	Methylomirabilia	Methylomirabilota	Bacteria									0.0392156862745098			
21-14-all-39-27	Bacteriovoracaceae	Bacteriovoracales	Bacteriovoracia	Bdellovibrionota	Bacteria		0.0055702105166283	0.0909090909090909	0.0034071550255536	0.0568181818181817	0.0127589385745555				0.024	0.0078740157480314	
21-14-all-40-8	GCA-002770795	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
28-YEA-48	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Pseudomonadota	Bacteria	0.0066739690212975	0.0225284786057577	0.0240641711229946	0.0119250425894377		0.011651449495529799	0.0681873543795252	0.0833333333333382	0.058823529411764705	0.0360036667162289	0.0590552946242872	0.0201093946616221
3-1-20CM-2-70-9	P2-11E	P2-11E	Limnocylindria	Chloroflexota	Bacteria	0.0066739690212975	0.17397449153010838	0.0747032315572723	0.0186844979887031	0.0233277657765767	0.0738463992459009	0.0681826760352513	0.0828102631538011	0.0392156862745098	0.0122064464839714	0.007874192262082701	0.06603348741030529
3-1-20CM-3-53-8	Pyrinomonadaceae	Pyrinomonadales	Blastocatellia	Acidobacteriota	Bacteria								0.0083333333333333				
3-1-20CM-4-69-9	Gaiellaceae	Gaiellales	Thermoleophilia	Actinomycetota	Bacteria	0.0131578947368421	0.052978305600437196	0.1203208556149732	0.0085178875728364	0.034090909090909	0.0170575693055834			0.0392156862745098	0.024000001283314	0.0354330708661417	0.0188710888910094
32-111	32-111	32-111	32-111	WOR-3	Bacteria		0.0055702105166283	0.0967253562803044	0.0034071550275594	0.0454545454545454	0.0127589385745555			0.0392156862745098	0.024	0.0078740157480314	
34-128	34-128	SB-45	JS1	Atribacterota	Bacteria				0.0051107325293781		0.0077574432186126			0.0196078431372549			
34-65-8	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Bacteria			0.0058162653712135	0.0017035775147826					0.0392156862745098			
40-19	Holosporaceae	Holosporales	Alphaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
40-80	Crocinitomicaceae	Flavobacteriales	Bacteroidia	Bacteroidota	Bacteria			0.0026737967914438	0.0017035775127768			0.0227272727272727			0.0120010603394498	0.0039368313599824	
40CM-2-70-7	GWC2-71-9	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadota	Bacteria	0.0066739690212975	0.0141184181306688	0.0026737967914438	0.008517887563884101		0.011651449495529799	0.0454600816522525	0.0750000000000049		0.0200036665904223	0.0118112001360984	0.0201093946616221
40CM-3-55-5	SbA1	Terriglobales	Terriglobia	Acidobacteriota	Bacteria								0.0083333333333333				
40CM-3-62-11	Nitrospiraceae	Nitrospirales	Nitrospiria	Nitrospirota	Bacteria									0.0196078431372549	0.0039999999999998		
40CM-4-65-16	Dormibacteraceae	Dormibacterales	Dormibacteria	Chloroflexota	Bacteria		0.1521748397780729	0.0690620786309111	0.0152773429631495	0.0233277657765767	0.0031015759912224	0.0454554033079786	0.0828102631538011	0.0196078431372549		0.0157480314960629	0.0459240927486832
40CM-4-68-19	40CM-4-68-19	Myxococcales	Myxococcia	Myxococcota	Bacteria			0.0058162653712135	0.0017035775147826					0.0784313725490196			
41-12-T18	Methylophagaceae	Nitrosococcales	Gammaproteobacteria	Pseudomonadota	Bacteria								0.0083333333333333				
41-269	DTU086	DTU086	DTU086	Bacillota	Bacteria											0.0039370078740157	
42-54-T18	Ketobacteraceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
43-108	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria									0.0196078431372549			
43-37	43-37	43-37	Alphaproteobacteria	Pseudomonadota	Bacteria								0.0083333333333333				
4484-113	4484-113	4484-113	4484-113	4484-113	Bacteria											0.0118110236220472	0.0094339622641509
4484-190-2	Desulfatiglandaceae	Desulfatiglandales	DSM-4660	Desulfobacterota	Bacteria		0.035918069882704295	0.008314949717805	0.0068143100511073		0.0139992413895498	0.0454600816522525	0.0750000000000049	0.0392156862745098	0.0282101130743937	0.011811023622047102	0.0094339622641509
4484-211	4484-211	4484-211	4484-211	Patescibacteriota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
4484-219	4484-219	JdFR-76	JdFR-76	Zhuqueibacterota	Bacteria								0.0083333333333333				
4484-230	Sulfurimonadaceae	Campylobacterales	Campylobacteria	Campylobacterota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
4484-49	Kaelpiaceae	Kaelpiales	Koll11	Omnitrophota	Bacteria											0.0118110236220472	0.0094339622641509
4484-87	Thermofontimicrobiaceae	Thermofontimicrobiales	Zhuqueibacteria	Zhuqueibacterota	Bacteria										0.0080000000000001		
4484-95	4484-95	UBA10806	MSB-5A5	Zixibacteria	Bacteria									0.0196078431372549			
4572-104	Hujiaoplasmataceae	Izemoplasmatales	Bacilli	Bacillota	Bacteria								0.0083333333333333			0.0118110236220472	0.0094339622641509
4572-112	UBA1556	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria										0.0039999999999988		
4572-123	4572-123	Desulfobacterales	Desulfobacteria	Desulfobacterota	Bacteria				0.0017035775127768		0.0385308760030931				0.0119963332281676	0.0078740157480314	
4572-128	4572-128	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria		0.0055279322555486		0.0034017385225791								
4572-13	Anaerohalosphaeraceae	Sedimentisphaerales	Phycisphaerae	Planctomycetota	Bacteria		0.1030640668523676	0.0133689839572192	0.0545144804088586	0.1022727272727272	0.1108742004264392			0.0196078431372549	0.008		
4572-55	4572-55	4572-55	4572-55	4572-55	Bacteria											0.0039370078740157	
4572-78	4572-78	4572-78	Anaerolineae	Chloroflexota	Bacteria									0.0196078431372549	0.0080000011575063		0.0188710888910094
46-47	46-47	AB16	AB16	Marinisomatota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
46-80	Nap2-2B	Desulfotomaculales	Desulfotomaculia	Bacillota	Bacteria											0.0039370078740157	
50-218	Thermacetogeniaceae	Thermacetogeniales	DSM-12270	Bacillota	Bacteria		0.0056245451547547	0.0160427807486631							0.0040000001258077	0.0354330708661417	
50-400-T64	Porticoccaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Bacteria								0.0083336620435535		0.008	0.0039370078740157	
51-20	CAG-239	RF32	Alphaproteobacteria	Pseudomonadota	Bacteria	0.0526315789473683	0.2328319863088608	0.2240367146403849	0.0425894378323844	0.056818181818181594	0.1169915306677211	0.1363802449567575	0.2666666666666499	0.4117647058823529	0.14883312059605722	0.2362204724409439	0.0849088247400657
54-19	Chloroheliaceae	Chloroheliales	Chloroflexia	Chloroflexota	Bacteria									0.0196078431372549		0.0039370078740157	
58-81	Thermovirgaceae	Synergistales	Synergistia	Synergistota	Bacteria	0.0647879388001692	0.0273518259199079	0.0374331550802139	0.6981560656270906		0.142969370072902	0.159090909090909	0.0166666666666666	0.1366880036103632	0.0199963343856739	0.0078740157480314	0.042141808365086394
62-47	Xanthobacteraceae	Rhizobiales	Alphaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549		0.0039370078740157	
630D-37	Villigracilaceae	Anaerolineales	Anaerolineae	Chloroflexota	Bacteria		0.1030640668523676	0.016042780748663	0.059625212938236694	0.1022727272727272	0.1186316436450518				0.008		
66-26	Rhodocyclaceae	Burkholderiales	Gammaproteobacteria	Pseudomonadota	Bacteria		0.0169574479650893	0.0187165775401069	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049		0.024003666716230002	0.047244094488188795	
66-474	Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Pseudomonadota	Bacteria		0.0083669620899691	0.0160427807486631	0.0034017385225791					0.0196078431372549	0.0040000001258077	0.0629921259842518	0.0283018867924527
67-14	70-9	Solirubrobacterales	Thermoleophilia	Actinomycetota	Bacteria	0.019831863758139598	0.008356545961002701		0.0017035775127768		0.0063965884861407		0.0166666666666666	0.0196078431372549	0.0039999999999988	0.0157482080101141	0.0201093946616221
70-18	Acetobacteraceae	Acetobacterales	Alphaproteobacteria	Pseudomonadota	Bacteria										0.004		
9FT-COMBO-48-23	UBA5629	GIF9	Dehalococcoidia	Chloroflexota	Bacteria									0.0196078431372549			
AA29	Fen-336	Fen-336	Vicinamibacteria	Acidobacteriota	Bacteria											0.0039370078740157	
AAA044-D11	Nanopelagicaceae	Nanopelagicales	Actinomycetes	Actinomycetota	Bacteria	0.0066739690212975	0.0575795744957883	0.1182341775104764	0.0051107325383304	0.0454545454545454	0.1307790182124878			0.13725490196078433	0.0924092274794244	0.13385844423058602	0.10501821940168779
AAA164-E04	AAA164-E04	Limisphaerales	Verrucomicrobiia	Verrucomicrobiota	Bacteria			0.0053475935828876							0.0080000000000001	0.0039370078740157	
AAA300-D14	Porticoccaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Bacteria			0.0080213903743315	0.0017035775127768	0.0113636363636363					0.0120000000000001	0.0039370078740157	
AAP99	Burkholderiaceae	Burkholderiales	Gammaproteobacteria	Pseudomonadota	Bacteria				0.0034071550255536								
AB-137-C09	Mariprofundaceae	Mariprofundales	Zetaproteobacteria	Pseudomonadota	Bacteria		0.0055710306406685										
AC-16	Gaiellaceae	Gaiellales	Thermoleophilia	Actinomycetota	Bacteria									0.0196078431372549			
AC-25	AC-25	Acidimicrobiales	Acidimicrobiia	Actinomycetota	Bacteria									0.0196078431372549	0.0080000011575063		0.0188710888910094
AC-32	Gaiellaceae	Gaiellales	Thermoleophilia	Actinomycetota	Bacteria								0.0083333333333333	0.058823529411764705	0.0080000011575063		0.0188710888910094
AC-38	Solirubrobacteraceae	Solirubrobacterales	Thermoleophilia	Actinomycetota	Bacteria								0.0083333333333333				
AC-49	Solirubrobacteraceae	Solirubrobacterales	Thermoleophilia	Actinomycetota	Bacteria											0.0039370078740157	
AC-51	HRBIN12	UBA4738	UBA4738	Actinomycetota	Bacteria	0.0131578947368421	0.016903933451003	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049	0.0196078431372549	0.0200036665904223	0.0078740157480314	
