family	order	class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
2-02-FULL-48-12	Ryanbacterales	Minisyncoccia	Patescibacteriota	Bacteria						0.0556038543883771						
2-02-FULL-48-14	UBA1369	Gracilibacteria	Patescibacteriota	Bacteria										0.0080000000000001		
2-02-FULL-48-16	UBA9973	Minisyncoccia	Patescibacteriota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0833336620435584		0.0280036665904223	0.0157480314960628	
2-02-FULL-50-9b	Magasanikbacterales	Patescibacteriia	Patescibacteriota	Bacteria										0.0039999999999988		
2-02-FULL-51-18	2-02-FULL-51-18	Koll11	Omnitrophota	Bacteria			0.0058162653712135	0.0017035775147826					0.0392156862745098			
2-02-FULL-66-22	Methylomirabilales	Methylomirabilia	Methylomirabilota	Bacteria								0.0083333333333333				
2-02-FULL-67-57	Acidiferrales	Terriglobia	Acidobacteriota	Bacteria		0.0217996517520355	0.0056411529263612			0.0087443803801607			0.09803921568627451	0.0082064464839714	0.0039370078740157	0.0094339622641509
2-12-FULL-35-15	2-12-FULL-35-15	Bacteroidia	Bacteroidota	Bacteria	0.013347938042595	0.0027855153203342		0.0034071550255536		0.0170575692963752			0.0392156862745098	0.016000000000001	0.0196853923981812	0.0685238404784045
2-12-FULL-37-12	2-12-FULL-37-12	Bacteroidia	Bacteroidota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-12-FULL-40-10	Moranbacterales	Minisyncoccia	Patescibacteriota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-12-FULL-40-28	UBA10199	UBA10199	UBA10199	Bacteria												0.0094339622641509
2-12-FULL-41-12	Saccharimonadales	Saccharimonadia	Patescibacteriota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407		0.0083333333333333	0.0196078431372549		0.003937184388067	0.0201093946616221
2-12-FULL-41-13	2-12-FULL-41-13	Minisyncoccia	Patescibacteriota	Bacteria				0.0017035775127768		0.0385308760030931				0.0119963332281676	0.0078740157480314	
2-12-FULL-49-11	Chlamydiales	Chlamydiia	Chlamydiota	Bacteria									0.0196078431372549			
2-12-FULL-50-11	2-12-FULL-50-11	UBA1384	Patescibacteriota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407			0.0196078431372549		0.003937184388067	0.029543356925773
2-12-FULL-57-11	2-12-FULL-57-11	Patescibacteriia	Patescibacteriota	Bacteria	0.0131578947368421	0.016903933451003	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049		0.0200036665904223	0.0078740157480314	
2-12-FULL-60-25	2-12-FULL-60-25	Patescibacteriia	Patescibacteriota	Bacteria		0.0028390298344205	0.0187165775401069	0.0068143100421549		0.0077574432186126	0.0454545454545454		0.0392156862745098	0.0200000012833141	0.0708661417322831	0.0283050511551603
2-12-FULL-62-27	2-12-FULL-62-27	2-12-FULL-62-27	Lindowbacteria	Bacteria										0.004		
2-12-FULL-66-21	Vicinamibacterales	Vicinamibacteria	Acidobacteriota	Bacteria									0.0196078431372549	0.0080000000000001		
2011-GWC2-44-17	Saccharimonadales	Saccharimonadia	Patescibacteriota	Bacteria		0.035918069882704295	0.008314949717805	0.0102214650766609		0.016131437955034	0.0454600816522525	0.0833336620435584	0.0784313725490196	0.040210113074393705	0.0196850393700785	0.0094339622641509
2013-40CM-41-45	AKYH767-A	Bacteroidia	Bacteroidota	Bacteria	0.0131578947368421	0.067096723731106	0.12299465240641701	0.015332197623943701	0.034090909090909	0.0223124303149725	0.0454600816522525	0.0833336620435584	0.0392156862745098	0.04400366671623	0.0629921259842517	0.0094339622641509
20CM-2-55-15	20CM-2-55-15	Terriglobia	Acidobacteriota	Bacteria				0.0051107325383304		0.0385308760030931	0.0227272727272727			0.0119963332281676	0.0236220472440943	0.0094339622641509
21-64-14	21-64-14	Gammaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
32-111	32-111	32-111	WOR-3	Bacteria		0.0055702105166283	0.0967253562803044	0.0034071550275594	0.0454545454545454	0.0127589385745555			0.0392156862745098	0.024	0.0078740157480314	
34-128	SB-45	JS1	Atribacterota	Bacteria	0.0131578947368421	0.0056245451547547	0.0160427807486631	0.0051107325293781		0.0077574432186126			0.0196078431372549	0.0040000001258077	0.0354330708661417	
40CM-4-68-19	Myxococcales	Myxococcia	Myxococcota	Bacteria		0.0217996517520355	0.011457418297574701	0.0017035775147826		0.0087443803801607		0.0083336620435535	0.11764705882352941	0.0202064464839712	0.0078740157480314	0.0094339622641509
43-37	43-37	Alphaproteobacteria	Pseudomonadota	Bacteria								0.0083333333333333				
4484-113	4484-113	4484-113	4484-113	Bacteria											0.0118110236220472	0.0094339622641509
4484-171	Duberdicusellales	Koll11	Omnitrophota	Bacteria	0.013347938042595	0.0141184181306688	0.0084900621626573	0.0136286201042203		0.018048037981670498	0.0454600816522525	0.0833333333333382	0.13725490196078433	0.0240036665904223	0.0433074396422755	0.0685206761156969
4484-211	4484-211	4484-211	Patescibacteriota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
4484-219	JdFR-76	JdFR-76	Zhuqueibacterota	Bacteria								0.0083333333333333				
4484-276	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	0.0264108111265606	0.0722367980752221	0.0510956983809066	0.008517887563884101	0.0113636363636363	0.0203958298756905	0.0454600816522525	0.0833336620435584	0.058823529411764705	0.052210113326009104	0.10629938911247609	0.0484112814540748
4484-95	UBA10806	MSB-5A5	Zixibacteria	Bacteria									0.0196078431372549		0.0039370078740157	
4572-123	Desulfobacterales	Desulfobacteria	Desulfobacterota	Bacteria				0.0017035775127768		0.0385308760030931				0.0119963332281676	0.0078740157480314	
4572-128	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria		0.0055279322555486		0.0034017385225791								
4572-55	4572-55	4572-55	4572-55	Bacteria											0.0039370078740157	
4572-78	4572-78	Anaerolineae	Chloroflexota	Bacteria									0.0392156862745098	0.0160000023150126		0.0377421777820188
46-47	AB16	AB16	Marinisomatota	Bacteria	0.0132529163897185	0.024638681586456	0.024357730466468098	0.0017035775127768		0.0151409688663014		0.0416666666666352	0.058823529411764705	0.012206446609779101	0.0551182867502716	0.0389773191899239
4be13	Desulfobacterales	Desulfobacteria	Desulfobacterota	Bacteria	0.0131578947368421	0.0027855153203342										
70-9	Solirubrobacterales	Thermoleophilia	Actinomycetota	Bacteria	0.0463376965375767	0.0583092214735507	0.0729609770136036	0.0204429301553276	0.0568181818181818	0.0481143799823002	0.0681873543795252	0.1916666666666714	0.2549019607843137	0.0682101144835141	0.1496068287547515	0.11693512193247929
9FT-COMBO-53-11	9FT-COMBO-53-11	WWE3	Patescibacteriota	Bacteria									0.0196078431372549			
AA152	Gp22-AA2	Polarisedimenticolia	Acidobacteriota	Bacteria			0.0058162653712135	0.0017035775147826					0.0392156862745098			
AAA164-E04	Limisphaerales	Verrucomicrobiia	Verrucomicrobiota	Bacteria	0.0066739690212975	0.1277027484388236	0.0430743080065749	0.0664395229982962	0.1022727272727272	0.1324117589891932			0.1764705882352941	0.056206446609777805	0.0748033261203501	0.0389773191899239
AB-539-J10	GIF9	Dehalococcoidia	Chloroflexota	Bacteria	0.0066739690212975	0.1603413643341182	0.087778656171018	0.022091653005304402	0.0233277657765767	0.0321169576904981	0.0454554033079786	0.0828102631538011	0.0784313725490196	0.012000000125807701	0.039370255254208696	0.0565995251461544
AC-14	Acidimicrobiales	Acidimicrobiia	Actinomycetota	Bacteria	0.0066739690212975	0.0083565459610027	0.0026737967914438	0.008517887563884101		0.0170575692963752			0.0196078431372549		0.0157482080101142	0.029543356925773
AC-25	Acidimicrobiales	Acidimicrobiia	Actinomycetota	Bacteria									0.0196078431372549	0.0080000011575063		0.0188710888910094
AC-67	AC-67	AC-67	Actinomycetota	Bacteria	0.0132529163897185			0.0017035775127768		0.0063965884861407		0.0416666666666352	0.0196078431372549		0.003937184388067	0.0201093946616221
AE-B3A	Aerophobales	Aerophobia	Aerophobota	Bacteria								0.0083333333333333	0.0196078431372549			
AG-339-G14	SAR86	Gammaproteobacteria	Pseudomonadota	Bacteria		0.0217996517520355	0.0056411529263612	0.0068143100511072	0.0113636363636363	0.049407452948737995		0.0083333333333333	0.13725490196078433	0.0362027797121378	0.027559055118109903	0.0188679245283018
AG-422-B15	Pelagibacterales	Alphaproteobacteria	Pseudomonadota	Bacteria	0.0264108111265606	0.0498991609984617	0.0270315272579119	0.0153321976149914		0.0866606650743021	0.0454600816522525	0.1000000000000048	0.0784313725490196	0.0402101143577077	0.0708663182463344	0.0578484080809333
AK92	Nitrococcales	Gammaproteobacteria	Pseudomonadota	Bacteria				0.0017035775127768	0.0113636363636363							
AKS1	AKS1	Gammaproteobacteria	Pseudomonadota	Bacteria												0.0188679245283018
AQU-01	Saccharimonadales	Saccharimonadia	Patescibacteriota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407				0.0039999999999988	0.003937184388067	0.0201093946616221
ARS1246	ARS1246	Spirochaetia	Spirochaetota	Bacteria									0.0196078431372549			
ARS69	ARS69	ARS69	ARS69	Bacteria		0.0027855153203342								0.0039999999999988		
ATM1	Fimbriimonadales	Fimbriimonadia	Armatimonadota	Bacteria									0.0196078431372549			
Abditibacteriaceae	Abditibacteriales	Abditibacteriia	Armatimonadota	Bacteria									0.0196078431372549		0.0039370078740157	
Absconditicoccaceae	Absconditabacterales	JAEDAM01	Patescibacteriota	Bacteria	0.006578947368421	0.1550138696124934	0.0967373901220012	0.0237952305220928	0.0233277657765767	0.010859019209835001	0.0454554033079786	0.0828102631538011	0.11764705882352941	0.0040000001258077	0.0511811023622046	0.0553580550128341
Acanthopleuribacteraceae	Acanthopleuribacterales	Holophagae	Acidobacteriota	Bacteria	0.0131578947368421	0.0027855153203342							0.0392156862745098			
Acetivibrionaceae	Acetivibrionales	Clostridia	Bacillota	Bacteria		0.0027855153203342		0.0051107325383304						0.0079999999999976	0.0039370078740157	
Acetobacteraceae	Acetobacterales	Alphaproteobacteria	Pseudomonadota	Bacteria	0.1725729780249705	0.8021229304768333	0.7279903848813954	0.187283817117812	0.19438280428042579	0.46502835521232677	0.6136823689248861	0.8739548457716348	1.9803921568627452	0.5302929115098475	0.7165382572963387	0.7060576589974131
Acetomicrobiaceae	Synergistales	Synergistia	Synergistota	Bacteria							0.0227272727272727				0.0039370078740157	
Acetonemataceae	Sporomusales	Negativicutes	Bacillota	Bacteria									0.0196078431372549			
Acholeplasmataceae	Acholeplasmatales	Bacilli	Bacillota	Bacteria	0.0263157894736842	0.1196743710217294	0.12108308674677241	0.030664395231988502	0.045454545454545296	0.1082017539596996	0.090920163304505	0.1500000000000098	0.3529411764705882	0.076213779664817	0.1022315278017927	0.0849088247400657
Acidaminobacteraceae	Peptostreptococcales	Clostridia	Bacillota	Bacteria	0.0066739690212975	0.0197429632854235	0.024532842911320397	0.0136286201042203		0.10578617988700001	0.0681873543795252	0.0833333333333382	0.0784313725490196	0.0399999999443974	0.1062993891124759	0.0484112814540748
Acidaminococcaceae	Acidaminococcales	Negativicutes	Bacillota	Bacteria	0.5931505013395355	0.8304537466272814	0.6950481548556384	0.2110736311387894	0.365437842784275	0.4715468470621553	0.5000413269442487	0.8900977848382927	0.9827214214156578	0.3122247816398883	0.3188995794498373	0.49105741994742047
Acidiferrobacteraceae	Acidiferrobacterales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.019831863758139598	0.20788432606071788	0.27006550977752564	0.0289059630763221	0.1028732203220311	0.039314672357501995	0.0454554033079786	0.0828102631538011	0.11764705882352941	0.036000000000000004	0.023622223758145502	0.0754674496744562
Acidihalobacteraceae	DSM-5130	Gammaproteobacteria	Pseudomonadota	Bacteria				0.0034071550255536			0.0227272727272727					0.0094339622641509
Acidilutibacteraceae	Tissierellales	Clostridia	Bacillota	Bacteria									0.0196078431372549			
Acidimicrobiaceae	Acidimicrobiales	Acidimicrobiia	Actinomycetota	Bacteria	0.059685634580171704	0.1965029701358661	0.0992360744685927	0.0425345831695842	0.0233277657765767	0.0554803487010537	0.1136427576875038	0.1661435964871393	0.2549019607843137	0.0442101132002002	0.0866150557986023	0.1464710660567937
Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.059400569621542304	0.24209791267210648	0.1604398413283276	0.0476453156989625	0.0460550385038493	0.0415489753723306	0.1818356482647361	0.31614359648714907	0.19607843137254902	0.1080110025895101	0.1889767309808579	0.1710548711747007
Acidobacteriaceae	Terriglobales	Terriglobia	Acidobacteriota	Bacteria	0.0863815106653617	0.260657876279908	0.147657976058055	0.0731989783906146	0.0460550385038493	0.2545274999118707	0.2500230026442613	0.4578533657874266	0.5732859800862176	0.1844202270692804	0.216537021697326	0.3306853939716496
Acidothermaceae	Acidothermales	Actinomycetes	Actinomycetota	Bacteria											0.0157480314960629	0.0094339622641509
Acidulodesulfobacteraceae	Acidulodesulfobacterales	SZUA-79	SZUA-79	Bacteria	0.019831863758139598	0.0854786462091419	0.1070703185563751	0.0068197265520759	0.0568181818181818	0.0409429185428373	0.0227272727272727	0.0250003287102201	0.21568627450980393	0.0644128954087629	0.0787403339943659	0.0861534592360936
Actinomarinaceae	Actinomarinales	Acidimicrobiia	Actinomycetota	Bacteria	0.026505832779437098	0.093982115189131	0.1454408172132406	0.0204429301553276	0.0454545454545454	0.0632211104508757	0.0454600816522525	0.0916669953768917	0.23529411764705882	0.07241655968417281	0.1181105892485744	0.1062565251723005
Actinomycetaceae	Actinomycetales	Actinomycetes	Actinomycetota	Bacteria	0.2261111743650357	1.126884488717562	0.6443275842104852	0.3354347895795209	0.4677105700570023	0.934397096667573	0.54548480000338	0.6650974561280943	1.8235294117647058	0.3528378510686454	0.5433097343249573	0.6711569436780906
Actinopolymorphaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria								0.0083333333333333				
Acutalibacteraceae	Oscillospirales	Clostridia	Bacillota	Bacteria	0.8739837310152214	4.233959005278318	3.427808527445444	1.0965993934684095	1.6190408010800967	2.639682385173897	2.1592314985167755	3.0780219641712683	6.51213318612154	1.8790741978539836	2.8031580789736767	2.8084595395406673
Adiutricaceae	Adiutricales	Desulfarculia	Desulfobacterota	Bacteria	0.006578947368421	0.0217996517520355	0.0056411529263612			0.0087443803801607		0.0416666666666352	0.058823529411764705	0.0082064464839714	0.0275590551181101	0.0377358490566036
Aeolococcaceae	Aeolococcales	Dormibacteria	Chloroflexota	Bacteria	0.0527266006002448	0.0832058589862142	0.0167929780387655	0.017090629779610098	0.0340961377344869	0.0536718448693945	0.0227272727272727	0.025	0.09803921568627451	0.024202779712139	0.0433072631282242	0.0484112814540748
Aeribacillaceae	Bacillales	Bacilli	Bacillota	Bacteria	0.0066739690212975	0.0028390298344205	0.0160427807486631	0.0017035775127768		0.0063965884861407				0.0040000001258077	0.039370255254208696	0.0201093946616221
Aerococcaceae	Lactobacillales	Bacilli	Bacillota	Bacteria	0.1044516663164484	0.4700516688988255	0.2169526678427046	0.8889567470661183	0.2045454545454544	0.5422500911171126	0.6364079259452925	0.6583336620435924	1.1366880036103633	0.3088441188469952	0.3307090144454233	0.1200932823822266
Aeromonadaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.2444662908132197	1.4570997306356308	1.0382692595875027	0.4530310761030426	0.6375646224622434	1.093501147419627	0.7288948385418895	1.1906211837280696	2.2941176470588234	0.8227204774357402	1.0866159383688718	0.7187277259474828
Aerosakkonemataceae	Cyanobacteriales	Cyanobacteriia	Cyanobacteriota	Bacteria	0.0066739690212975	0.0028390298344205	0.0160427807486631	0.0017035775127768		0.0063965884861407				0.0040000001258077	0.039370255254208696	0.0201093946616221
Aestuariivirgaceae	Rhizobiales	Alphaproteobacteria	Pseudomonadota	Bacteria	0.07994900746662591	0.23325265462493658	0.21973204252841821	0.0425345831805424	0.0574186748674857	0.0360749875198667	0.1136427576875038	0.1911439251973594	0.23529411764705882	0.060003667999544	0.10629938911247609	0.1550168357343083
Afifellaceae	Rhizobiales	Alphaproteobacteria	Pseudomonadota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049	0.0196078431372549	0.0280036677479286	0.0078740157480314	0.0188710888910094
Aggregatilineaceae	Aggregatilineales	Anaerolineae	Chloroflexota	Bacteria	0.0131578947368421	0.0027855153203342								0.0080000000000001	0.0157480314960629	0.0094339622641509
Ahniellaceae	Xanthomonadales	Gammaproteobacteria	Pseudomonadota	Bacteria		0.008410060475089	0.0160427807486631			0.0556038543883771		0.0083333333333333	0.0392156862745098	0.012000001283314	0.0590551181102361	0.0377390134193112
Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiia	Verrucomicrobiota	Bacteria	0.24465633411897258	1.1244927573226058	0.9757290119133737	0.29466947159346707	0.3415095839583943	0.9812955855449572	0.772783492557776	1.0661442539075967	3.1372549019607843	0.7995294802371454	1.0118133183047084	0.8639784761990421
Alcanivoracaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.0131578947368421	0.1578934854141296	0.1493455169248094	0.0408858603216133	0.034090909090909	0.1382492420459032	0.1363802449567575	0.2500000000000146	0.6274509803921569	0.1726240683339773	0.07480297309226511	0.113213875895226
Aldehydirespiratoraceae	Acidimicrobiales	Acidimicrobiia	Actinomycetota	Bacteria	0.039663727516279196	0.0632049397745831	0.0460416641414924	0.0034071550255536		0.0388107223807904			0.27450980392156865	0.1044128932195582	0.1850397231068423	0.0685206761156969
Algiphilaceae	Nevskiales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407			0.0196078431372549		0.003937184388067	0.0201093946616221
Alicyclobacillaceae	Alicyclobacillales	Bacilli	Bacillota	Bacteria									0.0392156862745098		0.0314960629921258	0.0188679245283018
Alkalibacillaceae	Bacillales_D	Bacilli	Bacillota	Bacteria		0.0440845944387496	0.024357730466468098	0.0068143100511073		0.0288605913840722	0.0454600816522525	0.0833336620435584	0.0784313725490196	0.0442101132002002	0.051181102362204495	0.0283018867924527
Alkalibacteraceae	Eubacteriales	Clostridia	Bacillota	Bacteria			0.0053475935828876									
Alkalispirochaetaceae	DSM-27196	Spirochaetia	Spirochaetota	Bacteria		0.0217996517520355	0.0056411529263612			0.0087443803801607			0.0392156862745098	0.0082064464839714	0.0039370078740157	0.0094339622641509
Alteromonadaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.28560676563945453	1.2905891188980867	0.7856396769192656	0.45815264166723246	0.5693828042804254	0.9185611864252067	1.0228120313997444	1.4661439251974273	1.9827214214156577	0.6894927946509842	0.984255145756855	0.874246608922707
Amesbacteraceae	GWA2-44-7	Microgenomatia	Patescibacteriota	Bacteria	0.0200219070638925	0.0141184181306688	0.0026737967914438	0.0119250425894377		0.028709018791905	0.0454600816522525	0.0750000000000049		0.024003665432917	0.031496592534279604	0.06976214624901719
Aminicenantaceae	Aminicenantales	Aminicenantia	Acidobacteriota	Bacteria	0.019831863758139598	0.055710306406685096	0.1096256684491978	0.0102214650856132	0.034090909090909	0.0790580121801012	0.0227272727272727			0.012	0.007874192262082701	0.0201093946616221
Aminiphilaceae	Synergistales	Synergistia	Synergistota	Bacteria								0.0083336620435535	0.0196078431372549	0.008	0.0078740157480314	
Aminithiophilaceae	Synergistales	Synergistia	Synergistota	Bacteria	0.0131578947368421	0.0501392757660167	0.1127681370289674	0.010221465087619	0.034090909090909	0.0170575693055834			0.0392156862745098	0.012	0.0039370078740157	0.0094339622641509
Aminobacteriaceae	Synergistales	Synergistia	Synergistota	Bacteria	0.0461476532318238	0.3203427443894976	0.32819634260807373	0.1107325383544156	0.1704545454545452	0.23268940064881138	0.2045675993362827	0.30833333333337937	0.3137254901960784	0.16442389306103042	0.2559056883250738	0.0861471305106784
Amoebophilaceae	Cytophagales_A	Bacteroidia	Bacteroidota	Bacteria	0.0132529163897185	0.01408812014393	0.0481283422459893	0.0017035775127768		0.0063965884861407			0.0196078431372549	0.0160000003774231	0.1102363969864921	0.0201093946616221
Amorphaceae	Rhizobiales	Alphaproteobacteria	Pseudomonadota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
Amphibacillaceae	Bacillales_D	Bacilli	Bacillota	Bacteria	0.046337696537576606	0.147359945006216	0.121364612248549	0.0511621800261941	0.068187046825396	0.2269624689508946	0.1818347904113029	0.27500000000001457	0.39215686274509803	0.1284202259673771	0.0748036791484522	0.10749799530562079
Anaerobacaceae	Sedimentisphaerales	Phycisphaerae	Planctomycetota	Bacteria	0.0066739690212975	0.19087842498111138	0.07737702834871611	0.0237952305270336	0.0233277657765767	0.023497405866912898	0.09091548496023111	0.157810263153806	0.1568627450980392	0.0322101130743937	0.0472442710022399	0.08490141193860709
Anaeroferrophillaceae	Anaeroferrophillales	Anaeroferrophillalia	Desulfobacterota	Bacteria											0.0039370078740157	
Anaerofustaceae	Eubacteriales	Clostridia	Bacillota	Bacteria				0.0034071550255536		0.0021321965654842		0.0083333333333333	0.0392156862745098	0.004	0.0039370078740157	
Anaerohalosphaeraceae	Sedimentisphaerales	Phycisphaerae	Planctomycetota	Bacteria		0.13043392912103138	0.1099192277926713	0.059625212947189	0.1477272727272726	0.1323775193811554	0.0227272727272727		0.11764705882352941	0.0482064464839715	0.0393700787401572	0.0283018867924527
Anaerolineaceae	Anaerolineales	Anaerolineae	Chloroflexota	Bacteria	0.046147653231823696	0.2060253459520916	0.1371258674954354	0.10562180578521639	0.15909090909090878	0.25255568835352893	0.11364743603177771	0.2416666666666135	0.5098039215686274	0.12020750646060101	0.1062992125984422	0.0672792059823766
Anaeromusaceae	Anaeromusales	Negativicutes	Bacillota	Bacteria				0.0017035775127768			0.0227272727272727					
Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota	Bacteria		0.1607817884871074	0.0299988833928292	0.0647359454855195	0.1022727272727272	0.1357500187616339	0.0454600816522525	0.0833333333333382	0.11764705882352941	0.052416559558365106	0.035433070866141406	0.0283018867924527
Anaeroplasmataceae	Acholeplasmatales	Bacilli	Bacillota	Bacteria	0.0464327181904531	0.08313874458900429	0.0674320384730431	0.0221465076660986		0.1647771364115078	0.11364743603177771	0.1916669953768965	0.5490196078431373	0.112416559754378	0.2362211784971488	0.14647531449554468
Anaerosomataceae	Anaerosomatales	Coriobacteriia	Actinomycetota	Bacteria		0.016903933451003	0.0026737967914438	0.008517887563884101		0.0437857370124822	0.0454600816522525	0.0833333333333382		0.031999999818589905	0.02755905511811	0.0188679245283018
