group	Pathway	Relative abundance
saliva	Biosynthesis_of_other_secondary_metabolites	1.23567770024828
saliva	Cancer:_overview	0.463583254958868
saliva	Cancer:_specific_types	0.0619890824583286
saliva	Carbohydrate_metabolism	8.67419471326649
saliva	Cardiovascular_disease	0.120258045808803
saliva	Cell_growth_and_death	0.806209477135161
saliva	Cell_motility	0.329466592772514
saliva	Cellular_community_-_prokaryotes	1.73833597791128
saliva	Circulatory_system	0.0149279772352216
saliva	Development_and_regeneration	0.0122349839733365
saliva	Digestive_system	0.14433285211851
saliva	Drug_resistance:_antimicrobial	0.943759070229336
saliva	Drug_resistance:_antineoplastic	0.26746655390998
saliva	Endocrine_and_metabolic_disease	0.230244546651399
saliva	Endocrine_system	0.673325059698389
saliva	Energy_metabolism	3.94976575493328
saliva	Environmental_adaptation	0.221258329175796
saliva	Excretory_system	0.022137656744949
saliva	Folding	1.44333748192326
saliva	Glycan_biosynthesis_and_metabolism	2.25754480810347
saliva	Immune_disease	0.0585307611458123
saliva	Immune_system	0.153784188217711
saliva	Infectious_disease:_bacterial	0.654783257271311
saliva	Infectious_disease:_parasitic	0.0460707510060386
saliva	Infectious_disease:_viral	0.0560912866290186
saliva	Lipid_metabolism	1.67356678445231
saliva	Membrane_transport	2.98893507562454
saliva	Metabolism_of_cofactors_and_vitamins	4.26651997472651
saliva	Metabolism_of_other_amino_acids	1.24150941186864
saliva	Metabolism_of_terpenoids_and_polyketides	0.866422041386684
saliva	Nervous_system	0.129880475693417
saliva	Neurodegenerative_disease	0.379672205761546
saliva	Not_included_in_regular_maps	0.0209162893632935
saliva	Nucleotide_metabolism	2.90206313969696
saliva	Poorly_characterized	2.3036096116295
saliva	Protein_families:_genetic_information_processing	18.7039135417684
saliva	Protein_families:_metabolism	6.54038394677227
saliva	Protein_families:_signaling_and_cellular_processes	11.5072544983162
saliva	Replication_and_repair	3.26992807618963
saliva	Signal_transduction	1.71808399835425
saliva	Signaling_molecules_and_interaction	2.9638604702624e-06
saliva	Substance_dependence	6.66868605809039e-05
saliva	Transcription	0.184524746363644
saliva	Translation	3.80529393727686
saliva	Transport_and_catabolism	0.274843572981859
saliva	Unclassified:_genetic_information_processing	0.766447797116821
saliva	Unclassified:_metabolism	2.37171735679938
saliva	Unclassified:_signaling_and_cellular_processes	1.16508783060944
saliva	Xenobiotics_biodegradation_and_metabolism	0.748471005290724
