OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	All	feces	plaque	saliva
ASV_810	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	uncultured organism	0.213511	0.640533	0.000000	0.000000
ASV_188	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	uncultured organism	0.344881	1.034644	0.000000	0.000000
ASV_272	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	uncultured bacterium	0.103948	0.00000000	0.02949853	0.28234631
ASV_396	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	uncultured bacterium	0.17717	0.531509	0.000000	0.000000
ASV_127	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Unassigned	0.169061	0.5071836	0.0000000	0.0000000
ASV_102	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii	0.229731	0.6891935	0.0000000	0.0000000
ASV_754	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	uncultured bacterium	0.20966	0.6289789	0.0000000	0.0000000
ASV_505	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	uncultured bacterium	0.201219	0.6036581	0.0000000	0.0000000
ASV_165	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	uncultured bacterium	0.164124	0.0000000	0.4923729	0.0000000
ASV_542	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelotrichaceae UCG-003	Erysipelotrichaceae bacterium GAM147	0.308701	0.9261019	0.0000000	0.0000000
ASV_828	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	uncultured organism	0.254261	0.7627845	0.0000000	0.0000000
ASV_150	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	0.241073	0.7232191	0.0000000	0.0000000
ASV_502	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	uncultured bacterium	0.162293	0.4868779	0.0000000	0.0000000
ASV_88	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	unidentified	0.221752	0.00000000	0.61946903	0.04578755
ASV_400	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	uncultured bacterium	0.304725	0.9141736	0.0000000	0.0000000
ASV_370	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	uncultured bacterium	0.163796	0.4913895	0.0000000	0.0000000
ASV_833	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	uncultured bacterium	0.254842	0.764526	0.000000	0.000000
